,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,t_others,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
2167,S/o to the flight attendants on @SouthwestAir flight 1451 out of Portland today! Made me a “birthday cake” out of toilet paper and a birthday crown out of their pretzels. Also had the entire plane sing happy birthday to me for my 21st #givethemaraisepic.twitter.com/3cR8kt5Viz,Murr_0114,❤️ 💙,,,,,1,,,,,1,,,1,,
2168,They canceled over 400 flights yesterday. I had to scramble to get to Kansas City. NOAA weather at either Indy or KC. Southwest let me down. They canceled twice as many flights as any other Airline yesterday. Nonsense. And customer service was terrible.,troyguthrie,,,1,,,,,,,,,1,,,1,
2169,@AmericanAir do you guys track feedback like this? I’m not a brute guy but making $600 on a flight that is 50% empty when the earnings were off last quarter? Seems to me - you make money in business? No reply? I’m not going away without an answer.,capital_lj,,,,,,,1,,,1,,,,,1,
2170,I’ve had the same issue many times and only at BWI. Its ridiculous!!!,dchmax,,,,1,,,,,,,,1,,,1,
2171,@SouthwestAir so happy to hear about #sandiego #hawaii flights! Waiting for your flights abroad too! Then the only website I need to visit will be yours.,BoErol1,😊,,,1,,,,,,,1,,,1,,
2172,. @TSA reducing checkpoints at @BWI_Airport due to “excessive call outs.” This is a busy holiday weekend but Saturday night typically has one of the lightest volume of flyers. Definitely something to watch tomorrow and Monday as folks come home. BWI is a big @SouthwestAir hub. https://twitter.com/TSA/status/1086753037618683909 …,krisvancleave,,1,,,,,,,,,,,1,,,1
2173,"I like SW, but @AlaskaAir is First Tier to customers. #iFlyAlaska",MrOvoXO92,,,,,,1,,,,,1,,,1,,
2174,"Hey @AmericanAir, your system needs optimization! I tried to get a same day change onto a flight with open seats for $75 (SDT seats sold out, so no). You ended up paying people $400 to volunteer off my oversold flight.",boyceaz,,,,1,,,,,,1,,1,,,1,
2175,@Delta Got basic economy seats on part of my trip and United allowed me to buy an upgrade but Delta wouldn't :(,mrscog58,,,,,,,,1,,,,1,,,1,
2176,So I am claiming for my refund. Who will pay @AirAsiaSupport @goibibo @timesofindia @BhaskaranSunil @johhny619,naughtyshk,,,,1,,,,,,1,,,,,,1
2177,"Had a nightmare flt on UA last fall. After customer service (phone) was unhelpful getting me to SFO after broken aircraft, I tweeted. They had my problem fixed in 5 min after that. It’s all the airlines respond to.",jujuscape,,,,,,1,,,,,,,1,,,1
2178,"Felt completely safe flying on a @SouthwestAir @BoeingAirplanes 737 Max8 today. I trust the pilots, mechanics and engineers that service and fly these planes. @CNBCpic.twitter.com/tV33PkbC4w",ND_Tog,,,,,,,1,,,,1,,,1,,
2179,"Hi, @SouthwestAir - what you’re about to do to us at MDW is the kind of thing that could break us up. Telling us in the morning that we’re delayed almost 5 hours and then moving that up by 4 with zero warning is not cool.",RadioFreeTom,,,1,,,,,,,,,1,,,1,
2180,How about that? @BWI_Airport and @SouthwestAir made #HonoringHerb a trending topic in the US. I have spoken.,WhoTrendedIT,,,,,,,,,1,,,,1,,,1
2181,Just boarded @AmericanAir 1340 from @Reagan_Airport to @miamiairports -I’m sorry but there’s no need for 9 boarding groups on a domestic flight - it would be efficient to board from the rear forward with business class the last to board.,CaddieTours,,,,,,,,1,,,,,1,,,1
2182,"If there was a god, people such as these would not exist darling x",jigsawuk,,,,,,,,,1,,,,1,,,1
2183,@Delta So your going to board comfort+ before Platinum and Gold Medallion members??? Thanks for giving me another reason to dump Delta and switch to @AmericanAir. I don’t understand why you continually crap on the people who fly the most.,WesternNC1969,,,,,1,,,,,,,1,,,1,
2184,Thank you. Cheers.,fivehundy,,,,,,,,,1,,,,1,1,,
2185,Sitting on the tarmac in San Jose after a two plus hour @Delta delay. Plane was delayed because it was in the hanger and nobody was around to tow it (?) to the gate?,davisfields4,,,1,,,,,,,,,1,,,1,
2186,Keep the fires burning in your heart and your record deal will come through for you. You are awesome and you have nothing to drop your head about. You did everything you could to win. I am very proud that I got to see you perform throughout the competition.Way to go.,Leigh79555503,,,,,,,,,1,,1,,,1,,
2187,Done! You’ve got us for many more years to come! #familytravel,MyVirtualVaca,😀 ✈️,,,,,,,,1,,1,,,1,,
2188,Ohhh you have no idea.,AdamRStroz,,,,,,,,,1,,,,1,,,1
2189,@Delta the gate agent is now making boarding announcements for 2613 flight 2.5 hours from now....funny! Will there be a crew? @FOX5Atlanta hope you guys follow this story,jake00814100,,1,,,,,,,,1,,,,,,1
2190,@AirAsiaSupport Your online check-in does not work...i have a flight out tomorrow a.m.,ckomagan,,1,,,,,,,,1,,,,,,1
2191,Sometimes airport layovers are quite nice ... beautiful sunset! Thanks @delta @Atlanta International Airport-Delta Airlines https://www.instagram.com/p/Bt9hLrBnyJJ_5U_25chpGLmiB0iJZJqujqhRuY0/?utm_source=ig_twitter_share&igshid=a9zz7tjxnq12 …,HappyHarleyGurl,,,1,,,,,,,,1,,,1,,
2192,Always! We love @SouthwestAir and your rapid reward points,TTUlaura,❤️ 😍,,,,1,,,,,,1,,,1,,
2193,@AmericanAir second time you didn’t bring my bag on the same plane I’m on now I have to wait tomorrow to get it grrrrreat,Big__mike13,🙄,1,,,,,,,,,,1,,,1,
2194,"Hallo @KLM! What's up @MAS and @SAS! Hey @AmericanAir, @VirginAtlantic and @VirginAmerica as well! Can't you help advertise this on a menu card or in a magazine in your planes? Imagine how many people you could reach! @heyyguidohttps://twitter.com/PhotoandGrime/status/1084882979233644545 …",PhotoandGrime,,,,,,,,,1,,,,1,,,1
2195,You need a 5p flight out of LGA.,GoldboxATL,,,,1,,,,,,,,,1,,,1
2196,Just landed at Logan & my @SouthwestAir flight attendant announced “Welcome to Boston! — the Happiest Place in Earth!” And I just really appreciate her enthusiasm for my fav city in the world. – at Boston Logan International Airport (BOS),briher10,,,,,,1,,,,,1,,,1,,
2197,Looks so cosy,cconnolly965,,,,,,,1,,,,1,,,1,,
2198,"Funny, my son is the only one having a stuffed animal party in the @Delta Sky Lounge. #deltaskylounge #deltaamex @AmericanExpress #LAXpic.twitter.com/G75kmc8CHb",workationwoman,,,,,1,,,,,,1,,,1,,
2199,As long as the Service levels don’t go back in time too. Then again perhaps they should,skthornber1,,,,,,1,,,,,,,1,,,1
2200,Remind me NEVER to travel on @AmericanAir EVER AGAIN.,lsarsour,,,,,,,,,1,,,1,,,1,
2201,@AirAsia @AirAsiaSupport please help me out https://twitter.com/gshubh76/status/1081579675015512065 …,gshubh76,,,,1,,,,,,1,,,,,,1
2202,"Good try, but no!",DaveWallsworth,,,,,,,,,1,,,,1,,,1
2203,Cool. Thanks,CharlesRBlack,,,,,,,,,1,,,,1,1,,
2204,It’s nice that @SouthwestAir advertises “bags fly free” but when it takes a freaking hour to collect your luggage at Midway it kind of spoils the fun!,reedert,,1,,,,,,,,,,1,,,1,
2205,A great day made even greater by the amazing staff @British_Airways big shout out to Alan on BA4470 this eve! Above & beyond is why I stay loyal! #amazing #CustomerService #goldmember pic.twitter.com/5QvefdyjDL,annabratton,,,,,,1,,,,,1,,,1,,
2206,"Damn! I got return flights with #BA100 from London to Abu Dhabi For £200 in the @British_Airways sale, but then hesitated and lost them pic.twitter.com/nrkv4EwbQQ",kirstypoole,,,,1,,,,,,,,,1,,1,
2207,It’s delayed. There’s nothing that can be done.,heatherakemi,,,1,,,,,,,,,1,,,1,
2208,@Delta -have you heard of an old-fashioned way to communicate -pen and paper?,ChrisitnaG,,,,,,1,,,,,,,1,,,1
2209,I doubt you’ve taken even a moment to read up on employment laws,pennywiseass,,,,,,,,,1,,,1,,,1,
2210,Why is it always shenanigans when I travel with you? @AmericanAir,I_DreamOfJiji,,,,,,,,,1,,,1,,,1,
2211,"It's nicely done, but I still say @British_Airways missed a trick by not getting the chief Yorkshire Pudding supporter and wrangler @IMcMillan for this line... pic.twitter.com/lfCRbpLfU2",MAW_H,,,,,,,1,,,,1,,,1,,
2212,You and @andre should start an @AmericanAir support group,KharmaPharma,,,,,,,,,1,,,,1,,,1
2213,@AmericanAir this is completely unacceptable! 10 am departure CLT to PUJ delayed THREE TIMES. Estimated depart 5pm now? Your day old sandwiches don't cut it.,jimbuck80,,,1,,,,,,,,,1,,,1,
2214,Excellent! We hope you have a wonderful day.,HeathrowAirport,,,,,,,,,1,,1,,,1,,
2215,"I dunno about the cheap flights thing. Seems like the cheap flights mentality has carried over for years, but not in actual pricing. Try Vegas<>Reno for example. Highway robbery. Don't get me wrong. SW is effectively the only airline I fly. Oh shoot! There I go too!",cdrichard01,,,,1,,,,,,,,1,,,1,
2216,Got it. So we should only care about racism directed at African Americans and ignore all other forms of bigotry.,Smg_Isaiah4031_,,,,,,,,,1,,,,1,,,1
2217,Please support @ClaflinUniv1869’s @hbcubotbrains team’s travel to TX to compete next month. Donations are tax deductible. #GoTeamClaflin #Claflin150 @CUIAA #HBCU @HomeDepot @NFL @Dell @Delta https://twitter.com/hbcubotbrains/status/1092452724518486024 …,BWheeler_PhD,,,,,,,,,1,,,,1,,,1
2218,Flying American tomorrow. Lovely,jetsettingjoggr,,,,,,,,,1,,1,,,1,,
2219,@AirAsiaSupport Depart from KUL to LOP. LOP to DPS. DPS to KUL back. Please refer below statement. Did air asia aware about this? Is it ok to fly? pic.twitter.com/741o3HGzwk,fara4ida,,,,,,,1,,,1,,,,,,1
2220,Congrats on the copy paste. That’s a no then. Can you tell me how to know what plane is being flown on a route? Then I can avoid the #Boeing737Max,lwfromltsince,,,,1,,,,,,1,,,,,1,
2221,"I also realized I am not sure what the aircraft in the middle is. VC-10 If I'm not mistaken, but it looks like it only has one engine on this side. Anyone have any suggestions?",HornettDaniel,,,,,,,,,1,1,,,,,,1
2222,I believe GCM is at LHR due to transfer traffic (but has to go via somewhere) - finance industry… The balance is always going to be tricky though.,LuxuryTravelled,,,,,,,,,1,,,,1,,,1
2223,No I am not,idahochargerfan,😣,,,,,,,,1,,,,1,,,1
2224,"I will never fly with @AmericanAir ever again. I just had the worst experience, that left me in tears. I was lied to, manipulated, and straight up disrespected. Then when I tried to get my money back, they told me I was being difficult. Never again!!",superfan9999,,,,,,1,,,,,,1,,,1,
2225,Sold out in no time!,Stevenson12Amy,😭,,,1,,,,,,,,1,,,,1
2226,I have DM the details,RajHanjabam,,,,,,,,,1,1,,,,,,1
2227,Was just reminded as to why I never choose to fly with @AmericanAir. HORRIBLE customer service experience at the gate in Miami International.,thevirgoh,,,,,,1,,,,,,1,,,1,
2228,"On the pawsitive it side, he’s in safe hands",8600Silkeborg,🤲,,,,,,,,1,,,,1,,,1
2229,@AirAsia @AirAsiaSupport hi I'm a student who need to do a presentation regarding AirAsia. Would anyone help me please? :),lunamintt,,,,,,,,,1,1,,,,,,1
2230,@AmericanAir @British_Airways my AAdvantage Gold status is refusing to reflect as one world ruby and as a result I’ve been unable to redeem any perks on my upcoming British Airways flight. Who do I need to contact to fix this problem? Thank you,abimisola_,,,,,1,,,,,1,,,,,,1
2231,"Hubby flew out at 6am & has discovered his DL is missing BUT Security, @AmericanAir & @united at Easterwood Airport went above and beyond looking for it Thank you to everyone at @flyeasterwood #grateful #bcstx #flyEasterwood",AngeliqueGammon,😬 😀,,,,,1,,,,,1,,,1,,
2232,My first thought was @americanair - before I saw that was indeed the case,cindygallop,🙂,,,,,,,,1,,,,1,,,1
2233,@AmericanAir thank you Michelle for your help today #paystonottogiveup,EnDHance,,,,,,1,,,,,1,,,1,,
2234,I heard a rumor that Southwest Airlines was going to start charging for baggage… Is there any truth to this?,jross3525,,1,,,,,,,,1,,,,,,1
2235,@British_Airways Been without my bag for a Business trip in Dusseldorf all day now. Courier can’t even give me a window of delivery. You guys really need to sort your baggage handling systems. No compensation can even begin to cover the disruption and damage caused to my business,Joseff_Evans,,1,,,,,,,,,,1,,,1,
2236,Sweeeeet.,jumbo747pilot,,,,,,,,,1,,1,,,1,,
2237,No. “Earlier zones” pay a premium.,Libs407,,,,,,,,,1,,,,1,,,1
2238,"I’d like to extend my sincere thanks to @AmericanAir for 2 weeks of absolutely fantastic customer service. With back 2 back PHL 2 LAX flights we had cancellations, delays & changes. However, your customer service was exceptional & in the end I made it home for 2 important events.",EricRMcPherson,,,,,,1,,,,,1,,,1,,
2239,"Well I recommend bringing some earplugs, there are screaming kids trust me. I had a couple fly right behind me from Japan to Minneapolis, Minnesota for most of the time. Thankfully my @Delta airline served many brewskis which helped me sleep through it.",Zippertheslip,,,,,,,1,,,,,,1,,,1
2240,"@SouthwestAir Okay here's the deal...i""ll give up free bags and free pretzels if you will pay whatever it takes to train your pilots how to fly the 737Max... If you don't?..bad things are gonna happen. AND... this is from a huge fan of SWA #737MAX",MikeAllardyce1,💥 😭,,,,,,1,,,,,,1,,,1
2241,"Ground staff they did not know in advance that plane BA054 JNB-->LHR tonight would be B747, instead of A380. My 14-year-old's a plane enthusiast. He already knew this morning. #misrepresentation",Rabbishish,,,,,,1,,,,,,1,,,1,
2242,"Brittany, get the “flight aware” app and look up your flight number and date. The plans type is in the upper right corner.",dapplegrey07,,,,,,,1,,,,,,1,,,1
2243,@Delta not sure how your doing this new zone boarding but what is the point of being a Gold medallion in Sky if they board with main zone 1?,chefwurster,,,,,1,,,,,1,,,,,,1
2244,@AmericanAir during my flight my hand luggage had items stolen from and nobody is able to point me in the right direction to resolve this incident. Flight AA108 February 8th 2019 6.35pm,cassiecr3,,1,,,,,,,,,,1,,,1,
2245,"You’ve kept her there waiting literally all day. Seriously. Don’t book a trip from Abilene to Palm Beach if you can’t get people to their connecting flights. That’s on you. And-you slammed the door on not one, but 2 people in this family today. New policy?",petsounds77,,,1,,,,,,,,,1,,,1,
2246,Now we know which flight you are taking watch out for the hungry mob. Not sure they’ll make it all the way to Edinburgh!,BA6948,,,,,,,,,1,,,,1,,,1
2247,British airways is (are?) worse. Apparently. And Vancouver island weather.,RobinSutmoller,,,,,,,,,1,,,1,,,1,
2248,"@AmericanAir can someone explain to me how it takes over an hour to do paperwork for a manual override, and then how it’s taking over an hour for bags to make it to baggage claim",SecordOut,,1,,,,,,,,1,,,,,1,
2249,Praise God no one was hurt!,ArbedDk,🙏🏽 🙏🏽 🕊 🕊,,,,,,,,1,,,,1,,,1
2250,"@British_Airways our bags were lost on Friday’s flight from Heathrow to Austin, and we were told they would be delivered Saturday night after the next flight. We have yet to hear about receiving our bags.",Lee_Rutter4,,1,,,,,,,,1,,,,,,1
2251,You need to ground the #737Max until this issue is fixed!!!!,SuccessRoar,,,,,,,1,,,,,1,,,1,
2252,@AmericanAir even though my mom made it in time she was forced to take the next flight. She paid for a better seat only to be placed on the next flight sitting in the 36th Row. Give her the money back!,MandyTarango,,,,,,,,1,,,,1,,,1,
2253,and cheese is still not a topping!,johnnyrotten23,,,,,,,1,,,,,1,,,1,
2254,"'progress' sure seems dead in the water for American Airlines.. Look at all of the complaints that their farms have to drown out here on Twitter. Just last week at my local airport, their baggage claim had a sea of lost luggage from a bunch of other flights. +some lady sat in pee",ScratchingMyHed,,1,,,,,,,,,,1,,,1,
2255,If only @rkelly wasn’t involved in Space Jam.......,AmandaLacia,🤦🏼‍♀️,,,,,,,,1,,,,1,,,1
2256,Flying over beautiful @canada yesterday with @british_airways (1/2) #nofilter pic.twitter.com/QwV0dWU6Eg,johnbreslin,,,,,,,1,,,,1,,,1,,
2257,"@AirAsiaSupport On February 5th, 2019, I made an inquiry from the AirAsia Japan homepage, but there was no reply. Case number 10099095.",hinata1209,,,,1,,,,,,1,,,,,,1
2258,@Delta Just landed in ATL. Hold flight 2085 pleaaaase. It's boarding!,SaludaSC,,,1,,,,,,,1,,,,,,1
2259,You think flights don’t happen at the end of the day? Lol,Samanataha,,,,,,,,,1,,,,1,,,1
2260,I’ve got to stop flying @AmericanAir. Holy crap!!!,raypendyck,,,,,,,,,1,,,1,,,1,
2261,"@Delta and the kindess, empathy of their agents. #thankyou #withappreciation",sab22310,❤,,,,,1,,,,,1,,,1,,
2262,I know that - all the more reason I avoid them now if possible,paulamiller_650,,,,,,,,,1,,,1,,,1,
2263,Are you kidding me,hannahfugini,,,,,,,,,1,1,,,,,1,
2264,@AmericanAir we flying Friday to Miami? I see the craft is a Boeing 737 Max...,samHsjoberg,,,,,,,1,,,1,,,,,,1
2265,@SouthwestAir We’ve been sitting on the plane for 2 hours and haven’t left the gate. Can we get an update please?,JoeyHolmes94,,,1,,,,,,,1,,,,,,1
2266,@Delta captain commuting/non-reving on my flight got up to help the ground crews get bags out of the jet bridge and down to be loaded. That speaks volumes about his commitment to supporting his team. Any way to get him some kudos?,aaronmhurd,,,,,,1,,,,,1,,,1,,
2267,"So I know you were probably pretty busy yesterday, @AmericanAir, but this is incredibly frustrating. And to add insult to injury, I’ve noticed that flight has dropped $50 per person. I get that that happens, it’s always a gamble, but now we’ve paid more for flights that are worse https://twitter.com/sahpatt/status/1105894164552736769 …",alibaxter,,,,1,,,,,,,,1,,,1,
2268,"Makes a comfy bed, just don't be dressing me up hoomanz!",twiglet_tweets,,,,,,,,,1,,,,1,,,1
2269,Round 2 of loading @AmericanAir DFW to BMI. Hopefully they don’t mess with the flight crew this time! pic.twitter.com/EHTWclEZo5 – at Gate D6,FredButt6,,,,,,,,,1,,,,1,,,1
2270,It's the moment we've all been waiting for - the #6Nations is back! And @CSM_Live will return to Twickenham next weekend to deliver a special activation for @British_Airways following a successful Autumn International campaign. Read more on that here: http:// bit.ly/2RZaaES pic.twitter.com/HlaWPF3fEY,CSM_Europe,,,,,,,,,1,,,,1,,,1
2271,"@Delta Super disappointed in service for DL10 leaving Today. Our Comfort+seats were changed today while we were boarding.gate agent raised her voice, no resolution, just pushed us into bad seats instead of what we paid for. Please help!",DGLRYD53,,,,,,,,1,,,,1,,,1,
2272,I got fast reply before in their facebook page support,realnotbaekho,,,,,,,,,1,,,,1,1,,
2273,"Delta makes the decision to put more fuel in the plane (why not be prepared?)from Cleveland so I miss my flight in ATL. Put me on the next to bhm? No way, but my bag made it :) @Delta",AndyAnnakin,,,1,,,,,,,,,,1,,,1
2274,Been there often. Excellent views.,gkorwan,✈️ ✈️ 👊,,,,,,,,1,1,,,,1,,
2275,I dislike this policy!,KristenHosman,,,,,,,,,1,,,1,,,1,
2276,@AmericanAir flight 1600 arrives early by twenty minutes in MIA and now we are an hour late. Mighty fine operations!,markfpatrick,,,1,,,,,,,,,1,,,1,
2277,Hey @SouthwestAir sitting on this plane for almost 2 hours waiting for 3 people’s luggage is pretty cool for those 3 people...but pretty crappy for the rest of us. (Esp those of us that were on the flight 5 hours ago that was canceled),AMinCTown,,,1,,,,,,,,,1,,,1,
2278,It matters to @delta. It's part of their loyalty program.,PunCass1,,,,,1,,,,,,,,1,,,1
2279,I pay $105 for one line,UmpireRobert,,,,,,,,,1,,,,1,,,1
2280,"Awesome, thanks. March 14th it is.",tja0881,,,,,,,,,1,,,,1,,,1
2281,"Stunning, looked amazing in the flesh watching her arrive, albeit on a wet, gloomy, LHR. Can’t wait for Landor. Please paint Landor on a younger 747, so we can admire it until retirement circa 2023!",BhAvGeek,,,,,,,1,,,,1,,,1,,
2282,"I’ve flown @SouthwestAir for years now and have never had an issue. Until tonight, when they broke my luggage and my clothes were on the airport floor",kourt_lynne,😒,1,,,,,,,,,,1,,,1,
2283,"Quality, comfort & sterile. Thank you @AmericanAir pic.twitter.com/Xp4R32Fboo",Lgsr1,,,,,,,1,,,,1,,,1,,
2284,Glad to know we're not alone on the runway. Our @AmericanAir plane is one of about a dozen that I can see that has been sitting on the runway for over an hour at DFW due to weather. Hope we get the go ahead soon.,PollywogPrinces,,,1,,,,,,,,,,1,,,1
2285,Have fun Ashley! Hopefully the weather is better than forecasted. Get lots of pics... And cheer on that 9 car all the way to victory for us! I'm counting on you soldier!!,ChaseArmy1,😀 🙃,,,,,,,,1,,,,1,1,,
2286,Did you ever get home?,wilsongarrett,,,,,,,,,1,1,,,,,,1
2287,"@americanair flight 193 from LA - Hong Kong, does it land on the same day or next day? And flight 192, same question.",schneider,,,,1,,,,,,1,,,,,,1
2288,Always a pleasure to fly SWA!!,d_smithd0209,,,,,,1,,,,,1,,,1,,
2289,I’d like to see about compensation for my inconvenience or a refund because I do not believe proper procedure was followed.,R2R_Nate,,,,1,,,,,,1,,,,,1,
2290,"I think I've flown Delta like once or twice. In my experience flying suck ass in general, so I'll pay the extra $20 or whatever to fly JetBlue and not hate everything",RappaciousOne,,,,,,,1,,,,,1,,,1,
2291,First class @British_Airways lounge #vegan options are: rice and potatoes. Well done BA. Even the waiter laughed .,aka20p,,,,,,,1,,,,,1,,,1,
2292,Enjoying all the free entertainment on our @SouthwestAir flight from Grand Cayman. Like father like son. #alist #SouthwestHeartpic.twitter.com/MRlFdb9BWt,PlayPartyPlan,,,,,,,1,,,,1,,,1,,
2293,Pot holes get everywhere lol.. Well done pilot,Medtechcerb,,,,,,,1,,,,,1,,,1,
2294,Done. Thank you!,jph_GSG,,,,,,,,,1,,1,,,1,,
2295,@Delta Delta is one of my favorite air companies until I saw this a few days ago flying back to Houston from Detroit. This video shows how the ground staff handling our bags. One of them was mine and I was not quite happy with him throwing my bag into the trailer. pic.twitter.com/uVxIOr5GO6,yiheng_zhao,,1,,,,,,,,,,1,,,1,
2296,We’re flying Virgin when we go to Europe later this year,Scairp114,,,,,,,,,1,,,,1,,,1
2297,But your ground crew member Michael (not sure last name) has been EXCEPTIONAL. A very welcome bright spot in this experience! He is at BWI gate A10.,ksimonetti,👍,,,,,1,,,,,1,,,1,,
2298,We share a birthday. Who knew?,Dibble75,,,,,,,,,1,,,,1,,,1
2299,"My @SouthwestAir flight attendant made my day “Alrighty folks if we could pretend to get your attention for a few minutes!” “Remember to use airplane mode and stuff” “Let’s talk about smoking for a minute. 1st of all smoking is bad for you, 2nd of all on planes it’s a big no no”",JennSkyeW,,,,,,1,,,,,1,,,1,,
2300,On the day itself ke? Or before,AArifPikaPi,,,,,,,,,1,1,,,,,,1
2301,"This is by far the funniest thing I’ve ever read, this is a joke right, I’ll bet @Delta and @SouthwestAir along with all the other Airlines are laughing in hysteria!pic.twitter.com/rikx4dmkXT",IamDonskie,,,,,,,,,1,1,,,,,,1
2302,"Sue Delta, sue that scumbag Captain!",mojorising71,,,,,,,,,1,,,1,,,1,
2303,@Delta trying to check in for my flight right now out of LAX in a few hours and realized my TSA pre check number wasn’t on the reservation that work had booked for me. Is there a way to fix it?,jaybattsby,🙏🏻,1,,,,,,,,1,,,,,,1
2304,@AmericanAir just had a super awful flight crew on our flight from DFW to LAX. Super rude over the loudspeaker and also just made random unnecessary announcements over the speaker multiple times on the flight.,MissAgey,,,,,,1,,,,,,1,,,1,
2305,Encore !,Guiguiii94,,,,,,,,,1,,1,,,1,,
2306,"How did this conversation go? Just read that @SouthwestAir are not going to ground their #737MAX8 fleet, which to me sounds like a poor and dangerous decision",scoti5,,,,,,,1,,,,,,1,,1,
2307,"If possible book all future travel on Spirt, JetBlue, Frontier, and Delta no 737max.",jetpenguin,,,,,,,1,,,,,,1,,1,
2308,I think Canada is awesome!,WillNovak13,,,,,,,,,1,,,,1,1,,
2309,There are a million reasons I love my husband but this is one more. On our flight to San Jose today this lady sat next to us because he “looked kind” - she was afraid to fly and asked to hold his hand on take off and landing! . @SouthwestAir pic.twitter.com/OQ2VnWOney,Samboomer1,❤️ ✈️,,,,,,,,1,,,,1,1,,
2310,I’m going to Disney World!!!!! #SouthwestAirlines,Mistaken1702,,,,,,,,,1,,,,1,1,,
2311,"@Delta canceled our flight from LGA, booked wife and me on separate flights. On phone, first agent was unhelpful and hung up. Second agent was helpful. Baggage agent at LGA rudely reprimanded us for approaching. There were no other customers in line. #deltalousyservice",RJBradford100,,,,1,,,,,,,,1,,,1,
2312,Moose,sueallers,,,,,,,,,1,,,,1,,,1
2313,As opposed the BEA. “Back Every Afternoon” as it was know by the crews,grahamsturgeon,,,,,,,,,1,,,,1,,,1
2314,Hi how can i change check in info ? I have DM you also,Doodoot,,1,,,,,,,,1,,,,,,1
2315,@SouthwestAir I am reaching out regarding getting a refund for WiFi that did not work on our flight.,michelle4339,,,,,,,1,,,1,,,,,,1
2316,You can borrow my very old @Samsung tablet thing that doesn't work,trumpyonair,,,,,,,,,1,,,,1,,1,
2317,@AmericanAir Don’t gamble with human lives! Do the right thing and ground the @BoeingAirplanes 737 MAX 8 until an investigation is completed! Boeing postpone new aircraft launch as airlines respond to fears over the company’s 737 MAX 8 planeshttps://twitter.com/i/events/1104932384997142528 …,EEHouse3,,,,,,,1,,,,,,1,,1,
2318,"Washington HS in @USDFremont had 5 students earn an @iCEVonline nationally recognized certification, CONGRATS to teacher, Lisa Burns! @SouthwestAir https://www.youtube.com/watch?v=6ZnHq012inA&feature=youtu.be …pic.twitter.com/NHH7GeuBnI",1SweetIrish70,,,,,,,,,1,,,,1,,,1
2319,"Thanks, @British_Airways , for keeping count… “since you first travelled with us in 1991 you have flown 1,546,530 miles, which is the same as flying 62.2 times around the world”",ideapharma,,,,,1,,,,,,1,,,1,,
2320,National security is more important than NFL football. If TSA hires don’t work they don’t get paid. The ones who do work will be paid. If short staffed they can only safely process so many people so get to the airport early.,pattylovesusa,,,,,,,,,1,,,,1,,,1
2321,After 12 hours of delays the flight gets cancelled. You stink @AmericanAir,JamesCrowder,,,1,,,,,,,,,1,,,1,
2322,That’s disgraceful. Complain!!,sixsidedman,,,,,,,,,1,,,1,,,1,
2323,"@AmericanAir while at customer service, 15 people waiting, two of the 3 agents decide to show each other baby shower pics from the weekend and gossip. One of them goes on to say ""just going to sit back here and eat my snack"". unacceptable",alextatex,,,,,,1,,,,,,1,,,1,
2324,Wouldn't that be a question for TSA not @SouthwestAir? It's a shame you felt the need to post that on a Tweet regarding the passing of Herb Kelleher.,OzFlyGirl747,,,,,,,,,1,,,,1,,1,
2325,"No probs, anyone would think you were busy trying to run an international airline Am I OK to DM my booking reference please? And do you need any additional info?",andy_surrey,,,,1,,,,,,1,,,,,,1
2326,@AmericanAir canceled our flight but no one can rebook us on a flight that can get us to our destination. Can you help?,MrMittelman,,,,1,,,,,,1,,,,,,1
2327,"@AmericanAir Still waiting for my 1:50 PM flight to takeoff. Was on standby for 2 different flights. Miraculously made it onto the 2nd, and just when I was settled in, they came and took me off! Now hoping for 930. No food voucher or anything",BethGall6495,,,1,,,,,,,,,1,,,1,
2328,"@AmericanAir this is a first. Good to hear you're expanding and pulling planes from Delta, but this isn't a great look! pic.twitter.com/pDBsJGOcc0",MattySchnitz,,,,,,,,,1,,,,1,,,1
2329,"@SouthwestAir by the way, how often do you wipe down your planes? Should have taken a pic of last plane.",AnaTX61,🤪,,,,,,1,,,,,1,,,,1
2330,@Delta same flight. Cash: $95.30 Miles+Cash: $95.60 + 2K miles Wassup here? How is the miles + cash more? pic.twitter.com/W9mcdIFDih,MerryMorud,🤔,,,,1,,,,,1,,,,,,1
2331,"BA brings the 747 to India specifically Mumbai often, wonder if it would come here.. be a good sight..",KrishnaAnand_,,,,1,,,,,,1,,,,,,1
2332,"Tail winds and blue skies, Mr. Kelleher. Thank you for building such a wonderful airline for us! #AvGeek @SouthwestAir pic.twitter.com/4nboY60QzD",Astro95Media,✈️,,,,,,1,,,,1,,,1,,
2333,I loved when American did a 757 like an old 707 pic.twitter.com/ANfuPxunGn,d0gmah,,,,,,,1,,,,1,,,1,,
2334,What a brilliant idea! Hope you will do some planes in BEA livery too @British_Airways #nostalgia #britishairways https:// twitter.com/British_Airway s/status/1088436409063665671 …,krozworld,,,,,,,1,,,,1,,,1,,
2335,"How is *being on the plane in question* not taking it in ""sequence""?",vedia_lupae,,,,,,,,,1,1,,,,,,1
