No,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
2976,Welcome to mile high citypic.twitter.com/QwQZRltv6L,JensHMadsen,,,,,,,,,,,,,,,
2977,Daughter looking into a Grad. school=Pittsburg. 7 hour drive. We'll rent a car vs flying Tired of being herded like cattle. Squished into a small seats. Flu season-we did get our Shots! Sleeping in Airports due to bad weather and bad hotel options. #luckyweareable,lisafieldsms,,,,,,,1,,,,1,,,1,
2978,"@AmericanAir You guys are the worst, I am never flying your airline again. You’re over book a flight with 50 seats, 10 people overbooked. And then you won’t even pay for a hotel or make any accommodations. This is ridiculous",BLaGreeIII,,,,1,,,,,,,1,,,1,
2979,RIP Herb Kelleher. Great episode to listen to. A lot of guts and wisdom. America needs more people like him. Listened to How I Built This with Guy Raz @Stitcher @HowIBuiltThis @SouthwestAir https://www.stitcher.com/s?fid=98794,FulgenceTonfack,😥,,,,,,,,,,,1,,,1
2980,Haven’t had any of it...yet,HeartOTXHeartMD,,,,,,,,,,,,,,,
2981,Dropping damn lies is what they are doing,DirtySouthWay,,,,,,,,,,,1,,,1,
2982,This is wonderful! Many thanks for your kindness to our Air Traffic Controllers. It's great to have such kind neighbors.,AndraLThomas1,🇺🇸 🇨🇦,,,,,,,,,,,1,1,,
2983,"Yes, @easyJet because their timings worked for us and it meant we could hunt today. I paid for a seat, speedy boarding and speedy bag drop and have only received the last two. The children behind and beside me need electric collars to control them!!!",Bambi_Hunter001,,,,,,,,,,,,,,,
2984,In 2019 this shouldn't be an issue...,dereknester,,,,,,,,,,,,,,,
2985,Thanks. My part went swimmingly even down to finding a parking space. MrPs bit may be more difficult. Why are you so delayed? Classic ‘problem with the plane’? Hope you were going for at least a fortnight.,CeriAWP,,,,,,,,,,,,,1,,
2986,was this the famous air incident that ended in a feud?,jsamson4321,,,,,,,,,,,,1,,,1
2987,@AmericanAir RUDE AND DISTASTEFUL,NOTKarltonBanks,,,,,,,,,,,1,,,1,
2988,Thank you. However @AmericanAir told me the same thing! I just want to put in my passport information. This is because Spain requires A.P.I. Can I DM you my passport details?,Seanjamesnelson,,,,,,,,,1,,,,,,1
2989,Hence why I’m tweeting. This hasn’t happened to me since roughly 2006!,BrittanyLasch,,,,,,,,,,,1,,,1,
2990,Flying @SouthwestAir has been a COMPLETE NIGHTMARE. I will never fly with them again!,tkwhitemanrn,,,,,,,,,,,1,,,1,
2991,Fly Delta. Get Measles.,MarkAMaynard,,,,,,,,,,,,,,1,
2992,10:36 and we have yet to be “de-iced”! Is anyone with @AmericanAir capable of giving an honest answer? I feel like I’m being Punk’d,cautionfun_,,,,,,1,,,,,1,,,1,
2993,Only @fargoairport and @Delta does it take longer to get ur luggage then the actual flight,tehven,,,,,,,,,1,,,,,,1
2994,So what can u do about it?,KickGameMessy,,,,,,1,,,1,,,,,1,
2995,There were spiders on his flight,Earnest_Andy,,,,,,,,,,,1,,,1,
2996,"Glad you are safe, Julie, & that you were able to reach an airport!",DonNadeau,,,,,,,1,,,,1,,1,,
2997,Hey @AmericanAir my parents are flying on this aircraft soon and are worried. What options are out there now conisidering the European Aviation Industry made this announcement.... https://nbcnews.to/2XPQVwS,_BetterWithAge,,,,,,,,,,,,1,,,1
2998,Yeah they’re going to have their hands full shuffling all the pieces around. The books have Rays at 15/1 to win the pendant so I just did a thing,dblsuited,,,,,,,,,,,,1,,,1
2999,Frustration? You have to stop using that word. You should have said “sorry to hear about this atrocity.”,torandlisa,,,,,,1,,,,,1,,,1,
3000,You’re hostile to our cherished 2d Amendment rights. Will never fly with you again.,MissouriDave1,,,,,,,,,,,1,,,1,
