,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
1270,Yeah DCA is bad. I wouldn’t be upset about the delay if they would have just put me on a direct flight home. #theywereoverbooked #iamoverbeingloyal,RPriceSRZ,,,,,,,,,,,,,,,
1271,It’ll likely put @SouthwestAir Hawaii service start-up on hold,DextersServant,,,,,,,,,,,,,,,
1272,@Delta waiting to board 5923 but delta hasn’t gotten the plane to the get yet. Likely resulting in a preventable delay. Not my favorite way to start the work week.,Khartsmith,😩,,1,,,,,,,,1,,,1,
1273,@Delta congratulations you just won some customers because @AmericanAir can't understand how to communicate and tell the truth https://twitter.com/JoelSmith31/status/1102105037948432385 …,JoelSmith31,,,,,,,,,,,,,,,
1274,Yeah I'm aware of that...not the point.,ramona36y,,,,,,,,,,,,,,,
1275,It’s amazing to me how many people in this thread love @delta ...,ChrisStrub,,,,,,,,,,1,,,1,,
1276,She looks lovely. I'll bet the pilot wasn't stressed about impending bankruptcy though. https://www. thetimes.co.uk/past-six-days/ 2019-02-17/money/ryanair-pilots-fly-into-3-2bn-tax-storm-6zcpkg565 …,rugbydick,,,,,,,,,,,,,,,
1277,"Yo @Delta you is telling you have this for your seat chart for DL916 on 5/8, all 16 seats open, and absolutely 0 upgradable space available for my RUCs? Come on man. Spoil me. pic.twitter.com/BeT4BsYceb",bhuynh08,,,,,,,,1,,,1,,,1,
1278,@SouthwestAir When will you post a #traveladvisories for #winterstormharper need to get to @MCO on Saturday. #winterblues #KPIT,golfbobg,,,,,,,,,1,,,,,,1
1279,"Hi @SouthwestAir I’m from the UK and it’s my 1st time flying with you guys in August this summer. Forgive the maybe obvious question; I am travelling with my 14 year daughter who is a nervous flyer to start with and doesn’t like being sat apart from me,",chrishaynes81,,,,,,,,1,1,,,,,,1
1280,@Delta Can someone by gate 72 at MCO turn off the “Ferdinand” DVD. I’ve been listening to it for almost 12 hours today.,deedubcincy,,,,,,,,,,,,,,,
1281,@British_Airways any further updates on the BA2958 from Gatwick to Glasgow?,AndyYoung103,,,,,,,,,1,,,,,,1
1282,Imma need @SouthwestAir to fly to Hawaii from SoCal,jjennnnq,,,,,,,,,,,,,,,
1283,"Sure, @Delta seems to want you to hook up, but they don't like it when two people go into the same bathroom.",BigMikeInAustin,,,,,,,,,,,,,,,
1284,"Not on flight 2331, just now!",markchrisp,,,,,,,,,,,,,,,
1285,Cool but what Hold,alejandraleeroj,,,,,,,,,,,,,,,
1286,2 fatal accidents do not look like a political motivarion. All aircraft must be grounded until the investigation ends. The 787 was grounded without any full losses.,IvanNVega,,,,,,,,,,,,,,,
1287,"Then again, be thankful its not @united",NateH86,,,,,,,,,,,,,,,
1288,"Good lordy, relax. This is not big deal.",rsbru01,,,,,,,,,,,,,,,
1289,Excellent flying skills,ContraryMeri,,,,,,,,,,,,,,,
1290,@Delta flt 2442 EWR to ATL they have resumed takeoffs. Still 18th in line. From the flight deck they tell us about 35 mins till takeoff.,h2oView,,,,,,,,,,,,,,,
1291,Just landed in CVG about 1:30 am ET. Sat on the plane from 6:30 pm until we finally took off at 12AM. Just cancel the damn flight. I get weather but u can't leave people cramped on a 1.75 hour flight for 5+ hours on the tarmac and taxiway. #misery #supposedtodepartat550PM,MoneroMinePool,,,1,,,,,,,,1,,,1,
1292,"First time I’ve missed a flight, and @British_Airways were bloomin’ lovely about it. #thanks .",Craawleyy,,,,,,1,,,,1,,,1,,
1293,Geez.. Take the napkin and throw it away like everybody else does. People always looking to complain about something,joshdan83,,,,,,,,,,,,,,,
1294,That must have been interesting.Hope you did'nt complicate it too much for her.,ThehussarDave,,,,,,,,,,,,,,,
1295,When you get that first class upgrade on a 4 hour flight.. #EatingEverything #MealsAndSnacks @Delta pic.twitter.com/Hb6TYpU9yW,odellbizzell,,,,,,,,1,,1,,,1,,
1296,@Delta why don't you offer a pay upgrade or change option for people who accidentally booked your stupid basic economy? It's months in advance. I don't want this type of flight arrangement where I might be separated from those flying with me. #delta #basiceconomy #dissapointed,Jordboy1,,,,1,,,,,,,1,,,1,
1297,This guy here. Guess the stage was too big for him and his Sphincter tightened up . @NFLpic.twitter.com/PqXamrDT6W,tony_banh,🖕,,,,,,,,,,,,,,
1298,Going on to hour four. Sitting on a plane with a five month old baby. Was suppose to be in Rochester at 2:30ish and I’m still on a plane in Chicago. @AmericanAir #whatisgoingon #horribleflight #stuckonaplane #plane #hot #nosnacks,ADIE_ML,,,1,,,,,,,,1,,,1,
1299,"I'm flying soon on @SouthwestAir, and I had to look up if the 737 Max 8 will be my airplane. Never did this before. When did @Boeing and @FAANews lower their #safety standards?https://www.usatoday.com/story/travel/flights/2019/03/12/boeing-737-max-how-many-fly-southwest-america-united-and-where/3143113002/ …",feliciahsiehsw,,,,,,,,,,,,,,,
1300,I'm so pissed. I've never been flat out refused check in. Are you kidding me?!?!,Redlegguy,,,,,,,,,,,,,,,
1301,Safe to say #missbem is very excited about another trip brought to us by @southwestair points! Can’t wait! https://www.instagram.com/p/BtY4eDzg-1P/?utm_source=ig_twitter_share&igshid=ir2hmdlinkhg …,apryllogan,,,,,,,,,,,,,,,
1302,The only way “Kate & Ross” and “funny” can be in the same sentence is if the word “not” is in-between them.,kylepkuo,,,,,,,,,,,,,,,
1303,". @GovKemp backs Georgia jet fuel #taxbreak for @Delta , other airlines https://www.myajc.com/news/state--regional-govt--politics/kemp-backs-georgia-jet-fuel-tax-break-for-delta-other-airlines/xGAq925LmRVR6VVbNuRvRL/ … from @jsalzerajc",MayaTPrabhu,,,,,,,,,,,,,,,
1304,Nice! I’ll take a different airline to see it! #neverAA,RamsTT15,,,,,,,,,,,,,,,
1305,Love to hear that! What other destinations are on your bucket list?,Enterprise,,,,,,,,,,,,,,,
1306,10953762 this is my case number. Regards.,DrWVassell,,,,,,,,,,,,,,,
1307,Hang tough...my NBC link randomly brought up airline info!,davefile,,,,,,,,,,,,,,,
1308,Dear @SouthwestAir - why are your direct flights double what they were last year from Orlando to Pittsburgh?? Southwest $812.42 RT non stop??? Why??????,WinelsMyPassion,🤷🏼‍♀️ 🤷🏼‍♀️ 🤷🏼‍♀️,,,1,,,,,,,1,,,1,
1309,"It’s a software fix, almost certainly. It will be repaired by April.",MichaelDuca,,,,,,,,,,,,,,,
1310,@AmericanAir missed my connection because of your late departure. Your customer service team couldn’t be bothered to help me. #thanksamerican,rockwoodfarm,,,1,,,1,,,,,1,,,1,
1311,Hopefully I get to see her sometime soon at LCY!,paulinastasiak,,,,,,,,,,,,,,,
1312,On a @southwestair flight to LA. Kim Cook and Clark Cook celebrating our 20 year anniversary of our first date and at the same location. @theproudbird #avgeeks #funpics #southweststorytellers #travelbloggerpic.twitter.com/pqz2RnY6ps,AirShowProd,,,,,,,,,,1,,,1,,
1313,I love . @SouthwestAir #BirthdayBowl,rellehcim,,,,,,,,,,,,,,,
1314,@British_Airways when's the big reveal #BA100,raisinganchor,,,,,,,,,,,,,,,
1315,"I checked in on line, but I need to put our bags through. I know I can’t do it without people, which is why im asking where the people are? You’re the only airline without staff, nobody for me to even go and speak to about my situation. It’s bad, considering the amount you charge",samchild,,1,,,,,,,,,1,,,1,
1316,@AmericanAir For the life of me - please discontinue flying the dinosaur of the sky - S80. Second time in 5 weeks flight changed because of mechanical issues. Are you guys waiting for a disaster to happen. Good job in finding us an alternate plane but still two hrs delay.,debuatomaha,,,1,,,,,,,,1,,,1,
1317,So @AmericanAir how are you going to handle this? Her flight number is 4095 Cle to nyc. If this is how you’re customer service acts then I won’t fly with you either . Also find that cello too pic.twitter.com/2kpGrqdb5F,jtibbssax,,1,,,,,,,,,1,,,1,
1318,"The @Airbus #A220 has officially taken to the skies for @Delta today, congratulations! @GKNAero supplies fuel-saving winglets, electrical wiring interconnection systems, as well as various engine components on the revolutionary @PrattandWhitney geared turbofan #PW1500Ghttps://twitter.com/usatodaytravel/status/1093506444731838465 …",GKNAero,,,,,,,,,,,,,,,
1319,I stopped flying Delta years ago. Nice to hear they've maintained their standards of quality...,jqgregory,,,,,,,,,,,,,,,
1320,"@AmericanAir thanks for the ride but may I please get off the plane now? Despite the pilot calling ahead, there is still no agent to connect the jetway and let us off. AA2240 sea to dfw",RWKtexas,,,,,,,,,,,1,,,1,
1321,@Delta not cool to land (late) at DCA and be told we have a 30 min wait for a gate to deplane. So much for being able to make it to my daughter’s swim lesson tonight,skmillie,😤,,1,,,,,,,,1,,,1,
1322,"@AlaskaAir So do you guys ever turn a E-175 aircraft or a Q400 aircraft in less that 20 mins? It's funny, because @SouthwestAir can turn planes! Come on Alaska! You used to be able to make up time! #alaskaair #iflyalaska #SouthwestAirlinespic.twitter.com/kARzFVnGJ9",playmaker09,,,1,,,,,,,,1,,,1,
1323,"oh my god, that's awful :( hopefully they'll be able to track it down...",carson_frame,,,,,,,,,,,,,,,
1324,"Hey @British_Airways I’m flying with you for the first time tomorrow with my dad to Vegas, just a year after my mam died. We’re going to tick off some things she would have wanted to do. What’s the chance of a little upgrade?",clydon11,,,,,,,,1,1,,,,,,1
1325,What can we say? It is virtually ALWAYS alive here with activity!,MALLOFTHEUSA,,,,,,,,,,,,,,,
1326,It was great to see you! You did a wonderful job today! I can’t wait to get together for lunch and talk innovative program design ideas!,A_Blackwell7,,,,,,,,,,,,,,,
1327,Unfortunately @AmericanAir you suck. How are your maintenance issues gonna take me from a 10 a.m. arrival to a 10 p.m. arrival? Let me answer that for you.. gross incompetence and negligence regarding your shitty old fleet. Be better,a_tutz20,,,1,,,,,,,,1,,,1,
1328,I did: RDU to ACE CLT to ACE GSO to ACE ATL to ACE WAS to ACE ....and every other combination was looking for suggestion on cheapest with maybe an extended night layover in a hub city?,ScottJLamond,,,,,,,,,,,,,,,
1329,Refuse to fly with these airlines,MsTea,,,,,,,,,,,,,,,
1330,That’s crazy. I fly 200-300K miles a year and have experienced all kinds delays. This is exactly how the pilots normally handle this situation. “Well sorry folks but we need to return to the gate. Unfortunately some passengers are not inclined to listen to the flight crew.”,aromas_and_rum,,,1,,,,,,,,1,,,1,
1331,"After all this, all they can offer is a measly $175 voucher. On our flight to Austin, someone was offered an $800 voucher to *willingly* change their flight. @AmericanAir did not provide sufficient meal vouchers for me for 12 hours & knowingly kept us in the airport for that time",SaraGormley1,,,1,,,,,,,,1,,,1,
1332,"@AmericanAir Sitting on a Boeing 767-300 MIA to ORD, time to redo interior or retire this bad boy...not the greatest customer experience.",rdeutsch,,,,,,,1,,,,1,,,1,
1333,I will be a little bit delayed as we have been diverted to Munich :) and will be bused to Innsbruck as we had a minor technical fault. @British_Airways,mrsoaroundworld,,,1,,,,,,,,1,,,,1
1334,I’m going “full Breer”.pic.twitter.com/xJayfXEfcb,BjbsJournal,,,,,,,,,,,,,,,
1335,"This smacks of barely veiled politicism. I like Olivia Coleman. But honestly, wake up Olivia.",KashallTheWise,,,,,,,,,,,,,,,
1336,Paradise gate beathiful day sun with us amazing snowpic.twitter.com/0aMxobVX11,FrancescoPlatan,,,,,,,,,,,,,,,
1337,Or this...https://www.google.com/amp/s/amp.usatoday.com/amp/1929842002 …,tjbraude,,,,,,,,,,,,,,,
1338,@SouthwestAir is flight 1399 grounded tomorrow?,mommapinter,,,,,,,,,1,,,,,,1
1339,@AmericanAir DM’ed you,ConstantLiya,,,,,,,,,,,,,,,
1340,Always a delight to see a 747 with London warm weather today see you on Sunday Heathrow with @CAPOUNE94 @British_Airways can you supply enough LPGS for our Sunday visit? @JSS777300 #avgeek #Travel #Boeing #London pic.twitter.com/1roub02bLv,youtripreport,,,,,,,,,,,,,,,
1341,"Well look at the plane dawg, it doesnt even have a middle row",Ricko12Ro,,,,,,,,,,,,,,,
1342,"If you’re in CLT, I landed at 11:20 last night and my bags came out at 12:45. While that was @united - I think it may be the airport vs the airline.",dmac026,,1,,,,,,,,,1,,,1,
1343,Money,waggles111,,,,,,,,,,,,,,,
1344,Ok still at baggage claim it horrible,Afhair,,1,,,,,,,,,1,,,1,
1345,"@SouthwestAir Flight 4485 IND>MCO diverted to ATL. Should my wife and daughter get a flight home, a hotel, or will they continue to MCO in an hour or two?",scridlin,,,1,,,,,,1,,,,,,1
1346,That happened to me the last time I tried to book. I tried to contact customer services but no joy. I was so annoyed I flew with @easyJet instead.,clairedonaghy88,,,,,,1,,,,,1,,,1,
1347,"Suggestions to @AmericanAir FA when passenger on crutches boards: 1) offer to help find a place to put the crutches 2) if passenger is in First, offer to put the crutches in the closet. 3) if you miss 1 and 2, help get crutches in rack back so others can put their bags in front.",untcampbell,,,,,,,1,,,,,1,,,1
1348,"Hang in there, Steph.pic.twitter.com/xwsA3ia9FN",lotboy101,,,,,,,,,,,,,,,
1349,Thanks Deborah and the crew of @Delta flight 2152 from #ATL to #DCA for the #fabulous treatment in #firstclass. I needed to be pampered tonight. It’s been a long few days. @DeltaAssistpic.twitter.com/jkJsm2vHBe,EqualityPrius,,,,,,,1,,,1,,,1,,
1350,"After the 15 hours of traveling (international) with @Delta , this is the level of care I was provided with my luggage... #disappointed #Deltapic.twitter.com/HQEog6EO7O – at Pittsburgh International Airport (PIT)",Agarbini15Alex,,1,,,,,,,,,1,,,1,
1351,Just flew in the MD-88 yesterday definitely retro but at the same time has some modern amenities like mood lighting.,Austin77998673,,,,,,,,,,,,,,,
1352,Yes will be over there on Friday AM,RossFisher,,,,,,,,,,,,,,,
1353,"I always seem to hear about airlines denying a child their seat. They overbook, then make young children sit in unsafe situations.",eizusdoow,,,,,,,,,,,,,,,
1354,"@Airline_ratings @British_Airways Flight to Dubai-Heathrow. BA109. Three seats 1st, no inclining, broken armrest, 2nd broken port so no screen. 3rd my blanket was covered in male body fluids as shown in pic. This was one of the worst flights ever. The ?is how is our return flight",jamieett,,,,,,,1,,,,1,,,1,
1355,"@SouthwestAir do points earned through http://southwesthotels.com and http://rocketmiles.com count towards the 110,000 miles needed to retain the companion pass for the next calendar year? I know the 30,000 points that are earned through the credit card do.",MKampfe,,,,,1,,,,1,,,,,,1
1356,Thanks Josh! Shame on you @Delta ! https://twitter.com/jboyette88/status/1105364098378854400 …,_TomRhodes,,,,,,,,,,,,,,,
1357,@AmericanAir when is AA218 taking off? It has been delayed 3 times and now we are sitting at gate. AA sucks. Fly Delta,freston4,,,1,,,,,,,,1,,,,1
1358,@Delta I left a device on a plane. Please help. Who can I call?,DaneKristiansen,,,,,,1,,,1,,,,,,1
1359,What you changing your flights too,wyattscro,,,,,,,,,,,,,,,
1360,"Hey, @AmericanAir, if you flew CLT to @DallasLoveField I’d U 4 eva",KevinKathrotia,❤️,,,,,,,,,,,,,,
1361,Incredible deals right now @SouthwestAir to Hawaii! https://twitter.com/southwestair/status/1102599593743798273 …,Nate_InTheAir,,,,,,,,,,,,1,1,,
1362,@Delta My 7:30AM flight from ORD to LGA has been delayed multiplie times but my coworkers who are on @AmericanAir are able to get out?? pic.twitter.com/ByVhYFuEJz,jenni_ngo,,,1,,,,,,,,1,,,1,
1363,"We totally understand that things happen (I believe our original aircraft was coming from the snowstorm and the flight was canceled) but it is frustrating when flights that are obviously going to be late show ""on time."" It isn't respectful to your passengers.",kdhess,,,1,,,,,,,,1,,,1,
1364,We tried they said no.,jeffjgf,,,,,,,,,,,,,,,
1365,"no no, its a different flight, the people in front of the pissing guy just happen to look, sit and dress identically.",AlrightGraeme,,,,,,,,,,,,,,,
1366,Baby. I really hope you find someone who'll make your shitty days better. We love you and I hope you know that. Stay strong.,grethan_biceps,💜 💜,,,,,,,,,,,,,,
1367,"So far they've done little except provide an incredibly transparent run-around. I'll continue to contact them (and the world via this platform, until the situation is rectified.",morrison_robbie,,,,,,,,,,,,,,,
1368,Hello is good to tweet you on here am jenny by name,BrandlyGold,,,,,,,,,,,,,,,
1369,Rainbow Sky- @southwestair #rainbowsky #southwestairlines #flight #travel #windowseat #sunset #beautiful #nature #amazing #abeautifulday #abeautifullife #livewhatyoulove #lovelife… https://www.instagram.com/p/BsMlCE4B8dF/?utm_source=ig_twitter_share&igshid=bevgrmukcv02 …,FreedomReigns2,✈️,,,,,,,,,1,,,1,,
1370,@khoa_nguyen 's rage is goals but @Delta please get your shit together. Not just for Keren but for all your customers ( but especially for @kerenswan )https://twitter.com/khoa_nguyen/status/1106411526246842368 …,9melody1,,,,,,,,,,,1,,,1,
1371,So the link you texted to “rebook” doesn’t work - and have been on hold for 45 minutes. Other airlines still have flights but can’t get ahold of @SouthwestAir by phone to figure out what is going on nor can we get your website to work. At this point i don’t even know if you...,danajo31415,,,,,,1,,,,,1,,,1,
1372,So do I. But public facing sound bites like this don’t count for much when your actual customer service is so bad.,atDave,,,,,,,,,,,,,,,
1373,"@AirAsiaSupport Hi., I had placed a booking KL to Alor Setar, Booking number : D1SRGE, now I wish to add in a child in these flights, how to go about it ? Thanks.",teh_hap,,,,1,,,,,1,,,,,,1
1374,Probably time to be a bit more realistic with how Delta determines what “most on-time airline” truly means... can’t continue to lie about it by closing a boarding door and changing the switch to “Awaiting Takeoff”.,Ben51096909,,,,,,,,,,,,,,,
1375,Yes it is... My favorite airport,TJ737Aviator,,,,,,,,,,,,,,,
1376,"#BeeLDeaL If you're heading to NCR, @SouthwestAir has some great airfare deels if you book within 2 days (credit: @Runitblack ) https://www.southwest.com/html/promotions/stateCalifornia_sale_origins_190205.html?CLK=2588032&RR_NUMBER=06d33bf58a2b1c0f75d02661f080d23019684bad&src=MAILCNS1010062&RSD=0825&RMID=swaDM3345&RRID=0971915b73c6f8c0ece3d0d0deb27e445079441908fd18f89ed7549f29aba218 …",blbeel,,,,1,,,,,,,,1,1,,
1377,"2 weeks! Bloody hell, must have a lot of complaints. Maybe a notice on the auto email you receive saying that would be helpful, not ""a few days""",WillBeresford1,,,,,,,,,,,,,,,
1378,Oh it's gone,Brent_8706,,,,,,,,,,,,,,,
1379,Fellow avgeeks know my general disaffection with @traveloneworld. Reinforced today @iflymia having selected @AmericanAir for my business class flight to Jamaica to be told that there is no lounge access for us. Thankfully had foresight to return with @Delta @VirginAtlantic,Grandpois,,,,1,,,,,,,,1,,,1
1380,"The same day - 21st Feb. I would prefer anything post noon - 5 PM. Name - Minal Thukral, DOB: 23/10/1992",minal_thukral,,,,,,,,,,,,,,,
1381,I guess there's a reason no other airline still flies 28 year old MD-88's. @Delta #antique #jalopyplane #airline,das_henn,😂,,,,,,,,,,,,,,
1382,@AmericanAir well they weren't and also false still haven't left. Thanks though https://twitter.com/AmericanAir/status/1096193741319213058 …,David_E_Tryon,,,,,,,,,,,,,,,
1383,How about the FAA stating they were confident the 737 MAX series was safe to fly? Anything to say on that?,igmld000,,,,,,,,,,,,,,,
1384,@SouthwestAir Why can’t we buy a gift card after being logged into my account. Can buy one on the site but log in and error. It’s been happening since Dec. and it locks the amount on our credit card,RossPR,😠,,,,,,,,1,,,,,1,
1385,Hi! I already had submitted my report and waiting for updates! Thank you!,Chocoloko5,,,,,,,,,,,,,,,
1386,"You forgot to mention the merger with Iberia to form a holding company based in Madrid which, technically, makes you a Spanish company",RipleyRattler,,,,,,,,,,,,,,,
1387,Do the person you talk to look like this?pic.twitter.com/ld4cxkodj0,ZachAstrix,,,,,,,,,,,,,,,
1388,The call centre asks me to contact the lost and found number. The person says that I have to complain to the BIAL lost and found department. After 10 hours they have routed me to another person. Ridiculous,ravsie,,,,,,,,,,,,,,,
1389,Shit. I am better than this. *Steak,DomHarris1985,,,,,,,,,,,,,,,
1390,Depends where you're flying to/ through... There's high wind warnings all through NE area...,BlkParader,,,,,,,,,,,,,,,
1391,Hello this is the great (Mallam Zaachi Sahanaaa) from northern Ghana I help people to solvd their needs like ... MONEY INSTANT LOTTORRY FOR GIRLS N BOYS MANY WAYS you can whassup me or call me on the following +233554558556 +233203088930,MallamBlack,,,,,,,,,,,,,,,
1392,"Hey @HeathrowAirport , you were saying.... @British_Airways pic.twitter.com/jgvBHOnirM",KayBurley,,,,,,,,,,,,,,,
1393,paying airlines to LET me sit with my family,kuladudette,😂 🤣,,,,,,,,,,,,,,
1394,I only have my @AmericanAir @AlaskaAir on my phone :) .,ps92264,,,,,,,,,,,,,,,
1395,"I tried to become pilot but didn't quite make grade, just pleased can ""live"" aspects of your life through enjoying your stories and info, especially the tech side ..... Many thanks!",Jon_in_UK,,,,,,,,,,,,,,,
1396,If I ever go on a plane sometime I'll wear a shirt like that,frankprosport,😂,,,,,,,,,,,,,,
1397,@British_Airways can I add more passengers to my flight booking?,Tenpindee,,,,1,,,,,1,,,,,,1
1398,Is life even real anymore Open seat next to me?!? Flight leaving early?!? @Delta is killing the game,finnyo11,,,,,,,,,,,,,,,
1399,Is that the same as exec club number? If not where is the ff no?,AArcherBrown,,,,,,,,,,,,,,,
1400,"@SouthwestAir for the win, too!",MizzouAldrich,👍,,,,,,,,,,,,,,
1401,@delta offered us $125 each can you believe that?? So disrespectful,naturegirl_07,,,,,,,,,,,,,,,
1402,@SouthwestAir saved a colleague and I a night with exceptional service out of Gate 25 from Denver to Omaha Flighht 1737,noluckmurphy,,,,,,1,,,,1,,,1,,
1403,Why did @AmericanAir just let half the plane preboard?,baiutoloooo,,,,,,,,,,,,,,,
1404,"@MKEairport @Delta DL2041 just grabbed $400 out of my pocket to rebook because I was at Gate 46 only 5 min before takeoff, checked in 40min earlier @TSA in MKE is backed up, @WisconsinDOT southbound exit to the airport is closed, adding 20min. Gate Agent Diane is a real peach.",the1426,,,,,,,,,,,,,,,
1405,My house??!!!!?!!,0000StingRay,🤪 😘 🙏🏻,,,,,,,,,,,,,,
1406,Lots of time to catch up on all the films you’ve missed!,nikkywhittaker,,,,,,,,,,,,,,,
1407,@SouthwestAir tickets to #Hawaii on sale for as low as $49http://bit.ly/2J19Ilk,KCENNews,🌴 🌴 ✈,,,1,,,,,,,,1,1,,
1408,I fondly remember Miss Lea in Le Bourget in 2013. It performed an amazing flight demo with @Airbus just before delivery. https:// flic.kr/p/Wk37Wi,rleiro,,,,,,,,,,,,,,,
1409,Grateful everyday to work @SouthwestAir and for our Founding Father Herb Kelleher. A sad day for all of us but his legacy will always be our inspiration. #honoringherbhttps://twitter.com/SouthwestAir/status/1080960248117149698 …,jlc2487,,,,,,,,,,,,,,,
1410,Noted. Thank you so much!,eastherdjoesoef,,,,,,,,,,,,,,,
1411,"Yes, when checking in 24 hrs prior and getting assigned to worst seats on plane with an offer to ‘upgrade’ to equally bad seats for more $. At least the movie selection was good.",Miles_A_S,,,,,,,,,,,,,,,
1412,@SouthwestAir my flight got cancelled to Las Vegas but I've seen no official reason posted on my itinerary or in my email. Where can I find that information?,japazilian,,,1,,,,,,1,,,,,,1
1413,Good answer! Meanwhile ask @AmericanAir if they can accio a functional aircraft. They just expelliarmused this plane out of service and all of us need to apparate to Orlando pronto.,grantboone,,,,,,,,,,,,,,,
1414,"At the moment being since Nov 2016?! That’s because so many customers are having issues, it’s literally impossible to speak to anyone!",GaryWitheford,,,,,,,,,,,,,,,
1415,Sweet! Use Concorde to find the cheapest flight options:https://concorde.io,concordecheaps,,,,,,,,,,,,,,,
1416,First time flying home with @Delta!,nmartins221,,,,,,,,,,,,,,,
1417,"@delta your policy on blocking 3 full rows, nine seats, for 3 flight attendants is pretty garbage.",tensigma,,,,,,,,1,,,1,,,1,
1418,940 departure you say?pic.twitter.com/ozftoAWqGu,MightBeHankHill,,,,,,,,,,,,,,,
1419,Yes! Perfect :) thank you so much!!,katrobison,,,,,,,,,,,,,,,
1420,"@SouthwestAir flies that same plane nearly 5,000 miles per day, everyday. The @Boeing Max is safe. Sorry, but I don't put much faith in Ethiopian Air (look at their safety history).",Larson_J_D,,,,,,,,,,,,,,,
1421,See @shannonfarren Tweet,newsbabe1530,,,,,,,,,,,,,,,
1422,"@British_Airways @alex_cruz Need to say a massive thanks to the cabin crew of BA 202 flying to Heathrow from Boston Kevin, Jackie and Natalie you guys are consumate professionals with Amazing customer service thanks so much and this is why we love BA!",emeraldathome,,,,,,1,,,,1,,,1,,
1423,The flight you bumped my girlfriend to is OVERBOOKED by 8 passengers. You’re the worst. ONLY flying @SouthwestAir from now on. #HappyValentinesDay to us.,RLapp311,,,,1,,,,,,,1,,,1,
1424,@Delta great captain on Atlanta to Madison flight this evening.,tsbaruah,,,,,,,,,,,,,,,
1425,"How do you fly from Dallas to SF when your pilots are in San Antonio? You don’t, silly. Thanks for the three flight delays @AmericanAir. – at Dallas/Fort Worth International Airport (DFW)",johnroman,,,1,,,,,,,,1,,,1,
1426,I'm sure you never asked someone for a phone number . Creepy is in the eye of the beholderpic.twitter.com/GSz3pV0Cgg,Dbee691,,,,,,,,,,,,,,,
1427,"@AmericanAir how can you mark AA2783 as ""arrived"" we are sitting here on the tarmac with no gate and the pilot says we could he sitting on this cramped plane for another 45 minutes?",JasonGriffithNY,,,,,,,,,,,1,,,1,
1428,Thanks for getting in touch Oliver I’ll DM u,tjmanc,,,,,,,,,,,,,,,
1429,@AmericanAir just delayed flight 1874 PHL to Boston. Gate agent announced this is due to weather in Boston. Current radar for BOS... pic.twitter.com/RuvIIFMtpq,JaxJagsJim,,,1,,,,,,,,,1,,,1
1430,@AmericanAir maybe you should teach the flight attendant customer service on AA2495. Asked could I move to an empty row and I got a eye roll and a stern no.,ScottMaasonn,,,,,,1,,,,,1,,,,1
1431,I think the past few months have proven that’s an inaccurate statement. RT @AmericanAir: @reneyjay Every day our team provides kind and courteous service to our customers. We're so sorry to hear this happened. Do you need help with this?,reneyjay,,,,,,,,,,,,,,,
1432,"@AmericanAir I’ve got an idea. Instead of having us sit in this plane (engines off) for 2 hours due to weather delays, let us off so I can rent a car and actually make it to work. Gracias.",FMBuster,,,1,,,,,,,,,1,,,1
1433,"Heather, I appreciate it. But again, the earliest SW could get us to Tampa is 36 hours after our original arrival time leaving us only 36 hours before we have to be back. Hotel, rent car events already booked and paid for. Plans with friends, beach and spring training gone.",Bradleys10,,,1,,,,,,,,1,,,1,
1434,@British_Airways DM almost 4 hours ago.... no reply. #anxiouspassenger,gogginr,,,,,,,,,,,,,,,
1435,Looks like a wasteland... nothing a middle school english teacher can't handle.,srcade,,,,,,,,,,,,,,,
1436,Daisy needs a first class ticket back one way ! Come on show a act of kindness,Ashleyusa813,💕 💕 💕,,,,,,,,,,,,,,
1437,My husband and son in about two minutes... @SouthwestAir hold Flight 2487 in Midway. They're coming!!!!!! pic.twitter.com/SMlj6rhBC7,TamaraGirardi,,,,,,,,,,,,,,,
1438,What’s going on there?,JaseJsm,,,,,,,,,,,,,,,
1439,"@SouthwestAir flew into Buffalo on flight 891. Hats off to a great crew, especially Kelly.",LarrySpeiser1,,,,,,,,,,,,,,,
1440,@Delta NEVER AGAIN!!!!,cutekiddsam,,,,,,,,,,,,,,,
1441,Yeah that’s a new thing with United I haven’t flown them in years they are total trash in terms of customers service. The only difference between them and spirit airlines at this point is that they serve water,skelmoss5,,,,,,1,,,,,1,,,1,
1442,I share your concern. Maybe you could have a big influence on attitudes toward CO2 based air travel by promoting #flyless? I know flying is crucial to your career. Warming impact due to CO2 from air transport is 3X the effect from ground transport.https://pubs.acs.org/doi/full/10.1021/es9039693 …,_tedspradley,,,,,,,,,,,,,,,
1443,Wow i've always wanted to win the elusive #EEBAFTAs goody bag. Fingers and everything crossed,RitaMistry,,,,,,,,,,,,,,,
1444,Similar thing happened to me with Arriva. The app said the bus was 8 minutes late. I stroll up with 4 minutes to go and it turns out it was only 3 minutes late. Had to get the son-in-law to drive me ahead of the bus so I could catch it. Fuming!,Timtastic10IAR,,,,,,,,,,,,,,,
1445,@SouthwestAir I’m flying with you in July. As the top US user of the Boeing 737 Max 8 aircraft a) what has been learned about the two recent crashes of this aircraft in other jurisdictions that might impact your fleet and b) what is being done to ensure your fleet is safe?,JeffreyBrinson,,,,,,,,,,,,,,,
