,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,others,comments
1763,@AmericanAir let me tell you that Rozina at the customer assistance baggage desk at Dallas Fort Worth is worth her weight in gold !! Please do something fabulous for her she has saved my life !!!,morganmcmichael,,,,,,1,,,,1,,,1,,,,
1764,Once I watched a lady tweezer chin hairs as she drove my parking shuttle bus to the airport. I can never un see that..NEVER! I WIN,lizaloutrout,,,,,,,,,,,,,,,,1,random
1765,@AmericanAir why did I pay $40 to upgrade my seat and now I’m stuck in the back in a window seat where I can’t do any work??,Eps8b,,,,,,,,1,,,1,,,1,,,
1766,I re-posted this last year and @delta via @virginatlantic delivered! Ready to book Scotland . #catchflightsnotfeelings #justsayin #thecure… https://www.instagram.com/p/Bugdl33hy4HEzkWK1x1TBURoxNWfCzdiUw_EFU0/?utm_source=ig_twitter_share&igshid=aftu9z52tqas …,leena88,✈ 🏴󠁧󠁢󠁳󠁣󠁴󠁿 💃 🎶,,,,,,,,,,,,,,,1,
1767,@AmericanAir just talked to a different gate agent. If a gate agent tells me I have a ticket. There’s no way for me to know that she’s wrong,JordanGreen305,,,,,,,,,,,,,,,,1,boarding
1768,"@AmericanAir As a regular customer, thank you for the investment in @ViasatInc WiFi on AA flights. It's LIGHT YEARS better (sorry Gogo...).",MFarringtonSD,,,,,,,1,,,1,,,1,,,,
1769,"Like I said already, last time there was this repeated request for changing my password/ new password not being recognised over and over was August and I was one of those affected by the data breach.. I had warned you on the day and received a similar reply to the one today..",tecchiegirl,,,,,,,,,,,,,,,,1,
1770,“A day in me will stink.” Personal musing only.,Cmrobin21,,,,,,,,,,,,,,,,1,
1771,Youuuuu cooooouuulld also book with another airlinepic.twitter.com/7jTxHcgdyO,Jace0815,,,,,,,,,,,,,,,,1,
1772,None of that makes any of my commitments happy. There are other things that ppl do besides fly and go home. We have families and jobs. I wasn’t even offered a meal voucher.,KamiMarsden,,,,,,,,,,,,,,,,1,
1773,You are so lucky....i was once given rm20 for my damaged bag but that was long ago. Maybe Air Asia have changed...,sawcboon,,1,,,,,,,,,,1,,,1,,
1774,"It’s coming... more terrible customer service, and bait and switch deals from BA.",NMEverett01,,,,,,,,,,,,,,,,1,
1775,"This is why I keep my shape, so even a small sit, feel VIP.",SPerezGoldzveig,,,,,,,,,,,,,,,,1,
1776,Thank you Iceman 21! @SouthwestAir @fly2midwaypic.twitter.com/3F1KapmMke,meghan_klee,,,,,,,,,,,,,,,,1,no context
1777,Complete had it with today @AmericanAir TSA agents completely rude and didn’t care that they changed the boarding for my plane and didn’t notify so i had to get a new ticket then continued to tell me not to cry cause it wasn’t gonna help me at all,bbygurlkali,,,,,,,,,,,,,,,,1,boarding
1778,I’ve always sat in World Traveller Plus on the 777 to/from MAD. For some reason you can’t select it in MMB or OLCI check in but the airport have always assigned them. Hope you get lucky and enjoy the ice cream!,KeaneJohn69,,,,,,,,,,,,,,,,1,
1779,So sorry,HonourableJoAnn,,,,,,,,,,,,,,,,1,
1780,"I tried to pre-reserved onlone, my young family is still 3 to 5 rows apart. 8k, your customer service agent was RUDE TOO. Offered me seats together for an additional $240 after spending 8k! You guys have problems.",Chrisgkelley,,,,,,,,,,,,,,,,1,conflicting
1781,@AirAsiaSupport i want to add on my luggage for my coming trip from kuching to kuala lumpur,HadiahHj,,1,,,,,,,1,,,,,,1,,
1782,Well I’m gonna go on @SouthwestAir later this year. See ya there,ChrisRyanOnline,😉,,,,,,,,,,,,,,,1,
1783,"Never flying @Delta again. Forgot wallet in the seat back on a late flight. Refused to check the plane after I called even though it wasn't flying out again for over 12 hours. @Delta kept saying they hope it turns up. Only checked after I showed up, but plane was already boarding",doug_erkkila,,,,,,1,,,,,1,,,1,,,
1784,Thank you @SouthwestAir ! What made the cancellation frustrating is that the earliest I could have rebooked the flight was 6 days later... well past the end of the conference I was trying to get to.,limnojess,,,,,,,,,,,,,,,,1,conflicting
1785,@AmericanAir I am extremely disappointed in you guys. My flight was super delay not once but twice cause me and my family to miss a family event that I can never get those moments back! I will never fly with you guys again!!,mrSbaez85,,,1,,,,,,,,1,,,1,,,
1786,How to cancel a flight? @AirAsiaSupport,dee67727639,,,,1,,,,,1,,,,,,1,,
1787,Whaaat @SouthwestAir wait time is over 120 minutes to talk with an agent.,kevcody,,,,,,,,,,,,,,,,1,no label
1788,Y’all. Katy at @SouthwestAir is the best! Thank you Katy for helping me!!,Nightwind08,,,,,,1,,,,1,,,1,,,,
1789,"Great job, Delta! I know I played no role in this other than one tweet, but still...pic.twitter.com/6f1dsS2vGt",DesertPlains496,,,,,,,,,,,,,,,,1,
1790,Hi @TourismMalaysia For Indian Passport Holders Which Kind Of Visa Is Required? eNTR or evisa? My Final Destination is Kuala Lumpur From India I Will Directly Come To Kuala Lumpur Via @AirAsiaSupport,Sai5005,,,,,,,,,,,,,,,,1,to others
1791,... but donald trump & the boeing ceo says they are safe..... not to worry..... (safe flight - I would be nervous!),MeandBailey,,,,,,,,,,,,,,,,1,safety
1792,What no SW flights to Mexico City!!!! Disappointing what would be next Cancun?,JPoa26,,,,,,,,,,,,,,,,1,
1793,@AmericanAir sucks!!,monigallas,,,,,,,,,,,,,,,,1,general
1794,What do ya know... ANOTHER delayed @AmericanAir flight - and it is NOT due to bad weather. The service is the worst in the industry but yet we get stuck using the AWFUL airline due to other flight times not working. DO NOT FLY AMERICAN IF YOU HAVE OTHER OPTIONS!!!!,mbmiller89,,,,,,1,,,,,1,,,1,,,
1795,@AmericanAir when can we actually book premium economy using hard earned aavantage miles??????,CT_CLT,,,,,1,,,,,,1,,,1,,,
1796,Hey @SouthwestAir still gonna have those Max 8s out there when my 4-year-old and I have a cross-country flight in a few weeks? Or are we just supposed to snack on a few pretzel bags for the six minutes and hope for the best? https://twitter.com/waltshaub/status/1105649702857568257 …,Campbler,,,,,,,,,,,,,,,,1,
1797,Pllllleaaaassssee let me rebook to a nearby destination free of charge instead of missing 2 days of work because your flights to my destination are sold out before Friday!!!!!!!!,business_dinner,,,,,,,,,,,,,,,,1,noise
1798,Stuck in LAS overnight after massive flight delay and no help from customer service @Delta . I know one airline that’s on my do not fly list.,vetbex08,,,,,,1,,,,,1,,,1,,,
1799,Pumped for fans to touchdown in Atlanta this weekend for #SuperBowlLIII -- they are in for a treat from @Delta! https://buff.ly/2SfqwZo #DeltaProudpic.twitter.com/gInRfeLn8V,Holland_Dombeck,,,,,,,,,,,,,,,,1,
1800,@AmericanAir hello. I had a question about traveling with a 7mth old. What documents do we need and is a copy acceptable? Or do u need originals,sup_69,,,,1,,,,,1,,,,,,1,,
1801,@AmericanAir twice today I paid for a seat and both times my seat was changed! I want my money back!,Lisa_Johnson_LA,,,,,,,,1,,,1,,,1,,,
1802,How long time it's take to refund ?,ravinder473,,,,1,,,,,1,,,,,,1,,
1803,When it’s so cold (and a small plane) that you can’t have potable water.... you drink booze. Duh #Baileyswithoutcoffee @Delta @BaileysOfficial @DTWeetinpic.twitter.com/Evx8ruFOvC,ManikinRunner,,,,,,,,,,,,,,,,1,
1804,We follow each other but it won’t allow me to PM you. Hoping you have my RL number. Please can your get me@on the 8:30? Still at gate in DTW,DropMeAnywhere,,,,,,,,,,,,,,,,1,to others
1805,"Lol same shit happened to me last wknd and they offered $815 credit. . I was like nah, I got plans the min I land FOH",Beeerto__,😂 😂 😂,,,,,,,,,,,,,,,1,to others
1806,I'm a big fan of Amreican Airlines! :-) @AmericanAir #planespottingpic.twitter.com/0aiCQD43Ud,toddafoster,,,,,,,,,,,,,,,,1,no context
1807,Hey turns out @AmericanAir can’t get this right https://twitter.com/Anti_twatwaffle/status/1099441995351818241 …,Anti_twatwaffle,,,,,,,,,,,,,,,,1,picture
1808,Some interesting choices,Sirveaux1066,✌🏼,,,,,,,,,,,,,,,1,
1809,Through Friday? Does that mean flights Friday afternoon?,343FallenBros,,,,,,,,,,,,,,,,1,
1810,"This is a longer flight, maybe I'll find the love of my life? Can you throw me in the onboard magazine in one of those stories of people that met at @SouthwestAir ?",kdgg09,,,,,,,,,,,,,,,,1,
1811,@delta @FlyTPA is there any way anyone could contact me concerning a passenger? Looking for support in Tampa.,RoyLoran,,,,,,,,,,,,,,,,1,
1812,Crickets ?,JoeBorelliNYC,🦗,,,,,,,,,,,,,,,1,
1813,just s couple Homies,jakem0693,,,,,,,,,,,,,,,,1,
1814,A canceled @SouthwestAir flight and lack of viable air alternatives has led to an marathon Vegas-to-Milwaukee drive. Seven guys in a rented Suburban after 3+ days of drinking and unhealthy eating. Not exactly the great American road trip.,Fitz_FF,,,,,,,,,,,,,,,,1,
1815,Several @SouthwestAir Boeing 737 Max 8 planes en route to PHX right now. #azfamilypic.twitter.com/5xz8EeZmyJ,RudyRivasAZ,,,,,,,,,,,,,,,,1,
1816,"Happy #AlohaFriday. Mahalo to @SouthwestAir President Tom Nealon, SVP Steven Goldberg and wonderful staff for coming to visit the Ronald McDonald House this morning. We are grateful for your support. Welcome to Hawaii! pic.twitter.com/BGZNxxZoeV",RonaldHouseHI,✈️ ☀️,,,,,,,,,,,,,,,1,
1817,"When @Delta GA declared ""prem/diamond"" everybody and their dogs are boarded, your GA is useless @DFWAirport",wutcanffdoforu,,,,,,,,,,,,,,,,1,boarding
1818,Oh No...,DownNOutNow,,,,,,,,,,,,,,,,1,
1819,@Delta thought I'd see him today but he's not working my flight this time. Is there a way to give the gate agent working gate 2 here in AUS on 3/13 for 7:05a flight 443 some good feedback? He helped me resched my flight and gave me a chance to sleep in my own bed last night.,imadinosaurAMA,,,,,,1,,,1,,,,1,,,,
1820,Shhhh...loosen your shoe laces...your feet are killing you... nobody will know...,SvePan1108,,,,,,,,,,,,,,,,1,
1821,"In two days, we’ll celebrate #ValentinesDay with @SouthwestAir in Terminal 1 at the Annual Flying Kisses event. Come meet our #LAXPups dressed in colorful Valentine’s Day costumes, and we'll have fun giveaways! We can't wait to share the love! #FlyLAX pic.twitter.com/z19hpr5HoO",flyLAXairport,❤️,,,,,,,,,,,,,,,1,
1822,That would raise enough money for the ticket and the wall!!! Great idea,YoureCrazy5,,,,,,,,,,,,,,,,1,
1823,"Hey @AirAsiaSupport , kindly check your dm. Thank you",adamnovic,,,,,,,,,,,,,,,,1,no context
1824,I hope someone's earthed the front plate like they are supposed to.,SurgicalCoder,,,,,,,,,,,,,,,,1,
1825,Do a 12k run Kinder King,beakydargus,,,,,,,,,,,,,,,,1,
1826,"@AmericanAir why isn t there any direct flight Chicago Paris these days? Used to have a 787, now to stay with One World, did a connection in LHR operated by BA in an old 777 with no charger, old sears and old tv screen for same price.. very disappointing",LyonEdouard,,,,1,,,,,1,,,,,1,,,
1827,"Safety announcement from @SouthwestAir re oxygen masks: ...”Put your own mask on first, and then assist your child. If you are traveling with two children, pick the one who has the most potential, and is the least likely to put you in a home” #PowerOfMonents",TCarter208,😂,,,,,,,,,,,,,,,1,
1828,Drive to NYC and fly? Really sucks.,JeremyMerrill,,,,,,,,,,,,,,,,1,
1829,"@AmericanAir Two flights today, two flights delayed. AA5971 still delayed but I guess consistency counts.",dday1959,,,1,,,,,,,,1,,,1,,,
1830,Pay to play .. but you’re paying with peoples’ lives. @SouthwestAir @AmericanAir @unitedhttps://twitter.com/waltshaub/status/1105649702857568257 …,CJwritergirl,,,,,,,,,,,,,,,,1,safety
1831,"I even tried changing my flight to a flight in the morning because I knew it would be delayed, but I kept getting this error and wasn’t able to. So I left to get to the airport on time and low and behold, it’s delayed. Will it be delayed again? Am I sleepin in HOU? @SouthwestAir pic.twitter.com/ARHADcORPR",auslandisch,,,1,,,,,,1,,,,,,1,,
1832,"Hi, at the moment we have no reason to assume that our Boeings 737 MAX cannot be used safely, just like our other aircraft. Of course we follow the developments closely because the safety of our passengers and crew is the most important. We stay in close contact with the 1/2",TUIflyBelgium,,,,,,,,,,,,,,,,1,safety
1833,@POTUS fix this!,b_geist,,,,,,,,,,,,,,,,1,
1834,"@British_Airways I've been advised that there are no safe meals or ingredients lists available for a longhaul flight this week, which is unexpectedly poor. Do you have plans to introduce nut free meals and what do you advise I do?",LucyHawes,,,,,,,1,,1,,,,,1,,,
1835,"@AmericanAir flight 2633 ORD-DCA was canceled last night. Rebooked on 3093/4417. My baggage made it as far as Indianapolis, and the tracker shows them at Baggage Claim. Do I need to go get the bag from Claim and re-check it? Or will it be loaded on 4417 for me? NXSKZI",kjbgu04,,1,,,,,,,1,,,,,,1,,
1836,"hey @AmericanAir - another day, ANOTHER delayed flight, causing me to miss my connection. Your agents at DCA don’t help the cause either. Happy Valentine’s day to you, too!",emilysbish,,,1,,,,,,,,1,,,1,,,
1837,@SouthwestAir My trip to #Hawaii is getting closer to becoming a reality!!!,SaraCsit,,,,,,,,,,,,,,,,1,
1838,"So you pay by year to hire ,cheaper the second year etc, - easypram",dickydrew,,,,,,,,,,,,,,,,1,
1839,Or for the pain of having to drive through the shithole that is Illinois,jnolan2021,,,,,,,,,,,,,,,,1,
1840,What love is that? Fares not where I live!,Queenagracie,😂,,,,,,,,,,,,,,,1,
1841,Some more edited shots of the #BOAC 747-400 at British Airways Maintenance G-BYGC is currently en route to JFK as BA117 #ba100 @British_Airways #britishairways @HeathrowAirport #boeing747 pic.twitter.com/mwv6ywC8Fe,speedbird_uk,,,,,,,,,,,,,,,,1,
1842,#JustBooked my trip to Barbados this summer on @AmericanAir First Class. Can you hook a guy up with lounge access?,nateblackout,,,,,1,,,,1,,,,,,1,,
1843,I MIGHT CRY FOR YOU BEBE I-pic.twitter.com/CN8TQR02P5,_bfromheaven,,,,,,,,,,,,,,,,1,
1844,"Is it currently oversold? If so, by how many",vwrestlemania1,,,,1,,,,,1,,,,,,1,,
1845,"@british_airways This is the 12th unsuccessful attempt over 5 days to submit a compensation claim to get all the way through the process and end up with the below error message. For the love of god, please help me submit this claim pic.twitter.com/zESZ1etkB9",eucluke,,,,,,,,,,,,,,,,1,
1846,We don’t need sooner...we just need to know if we will get there,gina_hardisty,,,,,,,,,,,,,,,,1,
1847,"Amy Turman, LAX >> SFO, 3/6-3/7 2019. Flights DL 2531 and DL 2546. If you can just refund my account so I can rebook, that would be great.",amyturman,,,,1,,,,,,,,1,,,1,,
1848,SWA is definitely not a hub and spoke airline...,RealEthanBerg,,,,,,,,,,,,,,,,1,
1849,No I just want this employee fired. I showed you the video. I don’t want compensation I want an idiot denying me my civil rights and harassing me fired. We don’t care who writes her paycheck she is representing southwest.pic.twitter.com/wRWXxrljXv,ValOCon74278100,,,,,,1,,,,,1,,,1,,,
1850,Think how inconvenient those 2 plane crashes were for those families @AmericanAir @BoeingCEO #737MAX8 #737MAX9,rsl12345,,,,,,,,,,,,,,,,1,safety
1851,Please call me on 6143782336,EvansSarfoAdu1,,,,,,,,,,,,,,,,1,
1852,they're too scared now,A_Rose50,,,,,,,,,,,,,,,,1,
1853,This is what they call a nominal fee.,BigotedVsBigots,,,,,,,,,,,,,,,,1,
1854,If AOC has her way you’re ass won’t be flying at all,JasonBrode,,,,,,,,,,,,,,,,1,
1855,"the flight attendant said “ms. carter do u need anything else?” and I ignored him bc I was like he can’t be talking to me. then he called my first name to clarify & I was like oh shit, y’all getting real good on these flights w the customer service @Delta",DontWorryBoutB,,,,,,1,,,,1,,,1,,,,
1856,"I’m headed to NY but my plane stopped in Dallas, so I was the only passenger still on for a bit and the crew was sooo lovely. They moved me to the front and when I thanked them one of the workers said, “this is all yours! Claim your world”. What a man. @SouthwestAir",sammiewithcurls,,,,,,1,,,,1,,,1,,,,
1857,"Two crashes in 5 months, all souls on board, no survivors. The public aviation forum for pilots to report incidences shows this aircraft has a recurring feature of going nose down unexpectedly. Do your homework.",ThuyReinders,,,,,,,,,,,,,,,,1,safety
1858,The worse service! Let me tell you about my experience.... Agent lied to get customers on a plane without trying to reroute us knowing that we would all miss our connection. Her lie cost AA several hotel rooms. NO ONE made their connection. @AmericanAir seriously! https://twitter.com/CoachJKnight/status/1087483789511741440 …,sastephenson1,,,,,,1,,,,,1,,,1,,,
1859,Want to support @TSA and #AirTrafficControllers ? Cancel your travel plans @VirginAmerica @AlaskaAir @united @AmericanAir @SouthwestAir . #puttheheaton,4copperwire,,,,,,,,,,,,,,,,1,
1860,@British_Airways : Stop helping the #HomeOffice deport people including mass deportations on secret chartered flights to #Jamaica - Sign the Petition! http:// chng.it/b6xBZw4s via @UKChange,Dr_Theodora,,,,,,,,,,,,,,,,1,
1861,"Hey @AmericanAir , any idea when flight 5043 is going to depart? Everything is showing 6:25PM but we're still waiting with no updates.",DCATraveler,,,1,,,,,,1,,,,,,1,,
1862,I don't know what plane you are on..all I get is them damn Pretzels.. Just Because they like me.. HA..,PAYTHEBOARD,,,,,,,,,,,,,,,,1,
1863,Off to Munich for work and a Sports show,wearecreativ,,,,,,,,,,,,,,,,1,
1864,"@SouthwestAir how do you board an aircraft, ready to shut the doors and make the announcement “we are waiting on the pilots and they just landed, so as soon as they make it over we will leave”?!? #isthatlegal @FAANews",TennesseanNnova,🤔,,1,,,,,,,,1,,,1,,,
1865,Hey @AmericanAir I must say I had a very pleasant check-in at LAX Terminal 4 with the lovely and helpful Wendy for my BA/AA flights. Gave me all 3 boarding passes for my 20hrs of flying + @flyLAXairport @TSA staff were excellent!,Franklette,,,,,,1,,,,1,,,1,,,,
1866,"I love @SouthwestAir, y’all! Y’all never delay flights and for y’all to give us a $200 voucher when it’s completely out of your control, says SO much about your amazing customer service! #SWForever",Amber_Naleen,💙 ❤️ 💛,,,,,1,,,,1,,,1,,,,
1867,What’s up with all the wheelchairs? Were you trying to get priority seating?,rmsmiths,,,,,,,,,,,,,,,,1,to others
1868,@AirAsiaSupport Wanted to change my mother's title in an ticket and surprisingly not able to do this because of no customer care support. Mailed several times. PNR-HRG3GW Flight-I5 731 Title amendment from Mr. Krishna sharma to Mrs. Krishna sharma,eed061875ce44a5,,,,1,,,,,,,,1,,,1,,
1869,Conspiracy theory or no,edwardpeguero1,👀,,,,,,,,,,,,,,,1,
1870,Especially when you have a smooth flight.pic.twitter.com/HMhxk7Sr6y,Dr_CMGreer,,,,,,,,,,,,,,,,1,
1871,Your family member will still be dead when you get there.,FakeAmericanAir,,,,,,,,,,,,,,,,1,
1872,"Thanks, Shell.",molratty,,,,,,,,,,,,,,,,1,
1873,Hawaii. On @SouthwestAir. You’re going to get crushed and pay for your years of gouging Hawaii’s citizens.,SFG303,😂,,,,,,,,,,,,,,,1,
1874,. @AmericanAir cancels 225 flights because of winter storm pic.twitter.com/xzLZMPfv5j,davidshepardson,,,,1,,,,,,,,1,,,1,,
1875,"Ah, ok. So the “subject to change” came into effect here. 10-4 / See you on 3/18.pic.twitter.com/LT3IHVusYz",TylerFarnsworth,,,,,,,,,,,,,,,,1,picture
1876,Yes Ik this wasn’t my only tweet about this situation,sweetenerloves,💓,,,,,,,,,,,,,,,1,no context
1877,That’s SO bizarre! Lol,hart_ct,😝,,,,,,,,,,,,,,,1,
1878,Until when? U want postpone my money alot? Helloo??? Ur very slow for return to crosscek ? Need how long? Why ur progress damn slow like u didnt working sia.,erlinda_eilyn,,,,,,,,,,,,,,,,1,no context
1879,737-800 is not the max. 737-800 is gen 2 737-max is gen 3. If it says 737-max that is a max plane. Flightaware has info on exact plane,aatruther,,,,,,,,,,,,,,,,1,
1880,"Yes, invest in GA, not a mean-spirited, useless, vanity wall.",finkedith,,,,,,,,,,,,,,,,1,
1881,Sorry doesn't fix your problems here. Scheduling more people early morning might.,billkTN,,,,,,,,,,,,,,,,1,
1882,Missed second depart time - still not a clue - how many will there be ...we shall see #AmericanAirlinespic.twitter.com/pffJPovQt8,Tom_L_Ericson,,,1,,,,,,,,,1,,,1,,
1883,Hello all customers https://twitter.com/HoldingNaga/status/1091782371664322560?s=20 …,HoldingNaga,🚛 🚛 🚛 💸 💸 💸 🚜 🚜 🚜,,,,,,,,,,,,,,,1,spam
1884,"BA finally goes ""retojet"" for #BA100 . Details here: http:// bit.ly/2R1fJ0g @British_Airways #B747 #QOTS pic.twitter.com/gRw16MPwk1",MaxK_J,,,,,,,,,,,,,,,,1,
1885,"The first name is incorrect on my second ticket and it was a error. Your people told me that I can’t change the name, and I don’t receive a refund for the inconvenience. So, now I’m not only NOT flying, but my money was taken too. This is your customer service? @AmericanAir pic.twitter.com/jfVfsif5vA",FaithCemonne,,,,,,1,,,,,1,,,1,,,
1886,Hawaii here we come! @SouthwestAir @planefinder #AvGeekhttps://twitter.com/SouthwestAir/status/1102599593743798273 …,n194at,,,,,,,,,,,,,,,,1,
1887,⁦ @Delta⁩ CRJ 200 operated by ⁦ @EndeavorAir⁩ has arrived from Detroit as flight number 3455.pic.twitter.com/f6vaJ1JvWQ,TylerCoolGuy88,,,,,,,,,,,,,,,,1,
1888,@SouthwestAir gets FAA approval to fly to Hawaii. Flight schedules to be announced soon.,tkahuna15,,,,,,,,,,,,,,,,1,
1889,@Delta How many hours in advance of a flight can I check my bags?,AveryVise,,1,,,,,,,1,,,,,,1,,
1890,@AmericanAir Flight 1777 Phoenix to Cabo great crew!,JohnEJohnsonCFA,,,,,,1,,,,1,,,1,,,,
1891,@AirAsiaSupport why ur side still sent the secure ePay code to my old phone number. I can't proceed my payment because of this matter. So regret,EroulBachelor,,,,1,,,,,1,,,,,1,,,
1892,"Let's go get lunch, I know a great spot in Waikiki beach hahah",TotesMcGotes,,,,,,,,,,,,,,,,1,
1893,Any information in particular or should I guess?! ;),yamesh,,,,,,,,,,,,,,,,1,
1894,@Delta do you price match if I find your flights elsewhere?,sam_lavelle,,,,1,,,,,1,,,,,,1,,
1895,"@British_Airways having issues using your app to check-in, is there any known problem at the moment?",Kevin_G_87,,,,1,,,,,1,,,,,,1,,
1896,"What delicious human football prospect will they use to get Zombie Rich to run the course, I wonder",bruce_arthur,,,,,,,,,,,,,,,,1,
1897,Thanks David. Please do convey my regards to the in-flight manager of Preeti on that flight. I would like to see that crew get that appreciation passed on! pic.twitter.com/HGk3dWwVhw,nit407,,,,,,1,,,,1,,,1,,,,
1898,"Of course my effin flight was canceled overnight. Thanks, Trump!",MerryMac,,,,,,,,,,,,,,,,1,
1899,"@AmericanAir Evelyn in the Mexico City reservation call center just SAVED THE DAY!!! Thank you, Evelyn. And, thx AA for empowering her to be so accommodating!",TonyTripoli,,,,,,1,,,,1,,,1,,,,
1900,"In typical @Delta fashion, sitting on airplane an hour and fifteen minutes later than departure time, with no end in sight. Oh and now they are *selling* us headphones, instead of handing them out to compensate for the awful experience we’re all having. This just sucks.",SirineShebaya,,,1,,,,,,,,1,,,1,,,
1901,KKK and my long history? What are you on?,SKenneyGirlTan,,,,,,,,,,,,,,,,1,
1902,Oh totally. We’re fine. I didn’t get the guy’s name who helped us at 3 am but he’s a rock star. Happy to DM confirmation if it means he gets a bonus!,gilrogers,,,,,,,,,,,,,,,,1,
1903,"Like, the bottom?",HillaryJacques,,,,,,,,,,,,,,,,1,
1904,"They could ofcourse, offer you zip but it’s likely that there are fare conditions that you already knew when purchasing the ticket and are now simply choosing to ignore(?)",DaaeGracy,,,,,,,,,,,,,,,,1,
1905,im watching you on @flightradar24 #BA54 pic.twitter.com/VhPsYpvfIw,claireowen16,,,,,,,,,,,,,,,,1,
1906,"Not too pleased with @SouthwestAir for this trip. Crew delays headed down to Florida, cancelled flights on the way back, then equipment problems on the rescheduled flight, etc. Thank goodness for Lori in Customer Service in Tampa who was the only bright light in all of this.",Harmonytodd,,,,,,,,,,,,,,,,1,multiple labels
1907,"I crush your head, stranded business lady.",greg_monahan,,,,,,,,,,,,,,,,1,
1908,"Hey @British_Airways , am I allowed to take my skis on a flight for free? Heard lots of different stories!",nathanpurcell,,1,,,,,,,1,,,,,,1,,
1909,@Delta Am I able to change the name on a ticket (due to a legal name change) once the ticket is purchased?,quiltstitcher,,,,1,,,,,1,,,,,,1,,
1910,"@AmericanAir When I fly Business class from PHL>LAX>AKL, am I able to access the Admirals club at PHL?",peltidelphia,,,,,1,,,,1,,,,,,1,,
1911,You all compensated some but that doesn't undo it or make me forget the stressful time it ended up being.,tkirk2012,,,,,,,,,,,,,,,,1,no context
1912,Thanks again @Delta you never disappoint me. 5:30 hour delay and counting. You’ve flown parts and crews in on separate flights from the same airport. You’re a model of inefficiency. #factoryofsadnesspic.twitter.com/HoKJh4JSLQ,brianhudspeth,,,1,,,,,,,,1,,,1,,,
1913,Story with @AmericanAir gets better. The flight they didn't let me on? They put my luggage on it. So I landed at terminal C. Luggage is now in A. My car is in D. Spectacular. I didn't want to go home anytime soon.,Twiceroadsfool,,1,,,,,,,,,,1,,1,,,
1914,@JanetJackson @AmericanAir A pleasure to serve you Ms. Jackson. Thank you for your kindness to our crew and congratulations on Rock and Roll Hall of Fame 2019! pic.twitter.com/HgLCJ9mNH0,flyingsober,,,,,,,,,,,,,,,,1,to others
1915,"@AirAsiaSupport hi Airasia, can you please move your 990 baht promo to Monday, 11 March? From Bangkok to Hatyai. I can't be absent for 2 days please.",roseey1829,,,,1,,,,,1,,,,,,1,,
1916,"Enjoy your flight, Dewain! Happy travels.",DFWAirport,,,,,,,,,,,,,,,,1,
1917,"Yeah I don’t know what happened with my seating, but when I reserved my AA flight a month ago I had an aisle seat, and I just checked in, it had me in a middle seat for a 7.5 hour flight! And there are no window or aisle seats available now unless I want to pay $100",AustinWakeham,😡,,,,,,,1,,,,1,,1,,,
1918,A long day of travel made easier by the excellent @Delta staff who correctly predicted we’d (eventually) make our destination with “ease and grace”.,maryrze,👏 👏 👏,,,,,1,,,,1,,,1,,,,
1919,"We ask your airlines in solidarity with TSA and traffic controllers, to call for a national strike. As of right now, because of the government shutdown, you cannot guarantee safety of passengers, specially with inclement weather. Trump must end the shutdown now. #NationalStrike",VivaResistance1,,,,,,,,,,,,,,,,1,
1920,@SouthwestAir how can i find out if the plane being used for a booked flight is an Boeing 737 Max8 so I can avoid that flight?,AmyHarber,,,,1,,,,,1,,,,,,1,,
1921,"Flight to NOLA got diverted to Austin because of plane troubles, but @SouthwestAir is treating us right.",JZ_Crawford,👍,,,,,1,,,,,,1,1,,,,
1922,I started flying @Delta this past year and they have been so good to me. https://twitter.com/jbarro/status/1089181586858430465 …,86thLegislature,,,,,,1,,,,1,,,1,,,,
1923,"Then please do me a favor and double check those self-service kiosks in the Medford airport for malfunctions. I know what I did, I know what I saw.",newzdude76,,,,,,,,,,,,,,,,1,
1924,@british_airways continues to send the boeing 747-400 to JFK on a daily basis... actually more like several times a day! #boeing #747 #b747 #boeing747400 #747lovers #boing747 #747400… https://www. instagram.com/p/BtKMCaElYtp/ ?utm_source=ig_twitter_share&igshid=1qo441uvh3y2r …,stevenholzinger,,,,,,,,,,,,,,,,1,
1925,"@Delta @VirginAustralia im in Christchurch, wheres my fucking luggage?pic.twitter.com/vnCNwoJtvu",Jord_Tam,,1,,,,,,,,,1,,,1,,,
1926,"@AlaskaAir @AmericanAir You have made my EARNED miles on Alaska totally USELESS. Tried to book @AlaskaAir Awards travel, but @AmericanAir (partner) won't confirm, making it unbookable despite appearing on website. Would be great if you'd reach out to me and FIX THIS! #fail",stargrey,,,,1,,,,,,,1,,,1,,,
1927,Look into this flight. It’s been one unorganized cluster after another. Island taxi companies are more competent.,NAPAxChris,,,,,,,,,,,,,,,,1,
1928,Omg THIS is why I love @SouthwestAir! #SaveTheDresshttps://twitter.com/SouthwestAir/status/1101590617199661056 …,mscalimarie,,,,,,,,,,,,,,,,1,picture
1929,#TMobileWingman and complimentary @Delta upgrade makes for a pleasant flight. #ByeNow #CHItoSEA @TMobilepic.twitter.com/vCMX4dwF3s,CHI_KarinaP,,,,,,,,1,,,,1,1,,,,
