,No,text,username,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,emoji
154,764,::: starts planning random trip on @Delta :::,StefanieJewett,,,1.0,,,,,,1.0,,,1.0,,,🤓 👩🏼‍💻 👨🏽‍💻 🛫
155,765,Hawaiian Air needs to realize that @alaskanairline @UnitedAirlines @Delta and @AmericanAir also fly from LAX to Hawaii. Don't act like you are a monopoly if you aren't...,easilcat,,,1.0,,,,,,1.0,,,1.0,,,
156,766,I always roll with @SouthwestAir ....just a thought.,fakeJohnTorts,,,,,,,,,1.0,,,1.0,,,😏
157,767,The gate person could have been more helpful. Apparently I was automatically booked on today’s flight and I could have save 2 hrs in the airport and got to the hotel sooner to inform my employee and send work. More feedback to just thank me for.,powerfrauusa,,,,,1.0,,,,,1.0,,,1.0,,
158,768,Hopefully it isnt one of their new planes! Been on a couple this week and the seats are so squeezed together that you can barely breathe! They do have usb charging points in the first 12 or so rows tho!,Everyday_Man,,,,,,,1.0,,,1.0,,,1.0,,
159,769,Up up and away. @SouthwestAir snow on them Cali hills pic.twitter.com/JbMfXU5oYW,kflamer,,,,,,1.0,,,1.0,,,1.0,,,
160,770,Was told no cab voucher or Uber code?,Neil_Mehta,,,,,,,,,,,,,,,
161,771,"Instead of arriving at 2:15pm from our original flight, we landed at 5:15pm and waited an additional hour and a half to wait for our luggage which never arrived. 2/2",thegadgetgirl,1.0,1.0,,,,,,,,1.0,,,1.0,,
162,772,Sad isn’t it?,JohnEdCS,,,,,,,,,,,,,,,
163,773,"@AirAsiaSupport hi, i just realised the date of birth is wrong on my ticket. How do i go about revising it ? Thanks",nandinandi,,,1.0,,,,,1.0,,,,,,1.0,
164,774,Dont worry America your 2 favorite airlines have not grounded their 737-8 max yet . @SouthwestAir @AmericanAir . Us Americans will fight to our deaths and keep all @Boeing Aircraft flying . #avgeek #america #B737max8 #BOEING737MAX8pic.twitter.com/2IwRQ1GMFB,Air_radar_of_NE,,,,,,,,,,,1.0,1.0,,,
165,775,There is nothing wrong with this at all!!! Believe it or not this concept is how people met in the past before the internet. Grow up babies! #1980 #bringmeback #coke,Mischief1Mayhem,,,,,,,,,,,,,,,
166,776,I mean atleast make it @British_Airways or summmmit,JessicaAMeehan,,,1.0,,,,,,1.0,,,1.0,,,
167,777,Isn't traveling fun? Good luck getting Down Under!,0209Barbara,,,,,,,,,,,,,,,
168,778,"@SouthwestAir Hey a Hub like the one in Hobby Airport of Houston in Santa Lucía MX, and aforable prices to strategic cities in all México, like you offered in USA, I think it would be good business.",MartinAvilaO,,,1.0,,,,,1.0,,,,1.0,,,
169,779,Southwest told me they cancelled my flights because of weather. The winds in Chicago were too strong apparently? I was left high and dry until @united came to my rescue. They had little issue landing or taking off in Chicago.,HelloKitska,,1.0,,,,,,,,1.0,,,1.0,,
170,780,Stop pretending like you guys care. Thanks for being unreasonable with rescheduling my flight.,thejohnrufino,,1.0,,,,,,,,1.0,,,1.0,,
171,781,@AmericanAir have I told you lately how I feel about you?,fmzh21,,,,,,,,,,,,,,,
172,782,i do fly a lot...,leefossmusic,,,,,,,,,,,,,,,
173,783,4 months too late,DTables619,,,,,,,,,,,,,,,🙄
174,784,"@Delta on top of all this, most restaurants in ATL airport are now closed. In the terminal E sky lounge (one open latest) and barely any food left",jake00814100,,1.0,,,,,,,,1.0,,,1.0,,
175,785,"Can't wait to sitin one these beautiful and amazing airplanes @Delta @Airbus A220 first class flight review, photos http://www.businessinsider.com/delta-airbus-a220-first-class-flight-review-2019-2 …",LuisTechnology,,,,1.0,,,,,1.0,,,1.0,,,💺 ✈ 🛫
176,786,Seriously? Like flying doesn’t suck enough? Now people are going to be subjected to this garbage?,camidlifecrisis,,,,,,,,,,1.0,,,1.0,,
177,787,Wouldn't go to that place if you paid me.,NoPCGal,,,,,,,,,,,,,,,
178,788,and then after two hours on hold @SouthwestAir just hung up. Bad day for them https://twitter.com/drbret/status/1106005459452882944 …,drbret,,,,,1.0,,,,,1.0,,,1.0,,
179,789,@AmericanAir could I get an update on why flight 3998 was canceled?,ljabernathy,,,,,1.0,,,1.0,,,,,1.0,,
180,790,Y'ALL! @AmericanAir doesn't fuck around. I'm already rebooked on a different flight avoiding O'Hare altogether.,calebmicah,,,1.0,,,,,,1.0,,,1.0,,,
181,791,@SouthwestAir patiently waiting to book my flight from Hawaii home to Memphis. Please make this happen soon,LegsandBeauty,,,1.0,,,,,,,,1.0,,,1.0,🙏🏾
182,792,Why were the two remaining runways redesignated by 10 degrees?,AdamGashead,,,,,,,,1.0,,,,,,1.0,
183,793,"But he just got up from his rest period on the desk, right?",nakedmac,,,,,,,,,,,,,,,
184,794,True Leadership is voice 2answer call &speak words 2do most good 4ALL! @AmericanAir @MarkWarner Thk Her! 4being Brave 2speak Truth @SenMajLdr Neglected Duty &LET this happen 4GREED @WhiteHouse Damage already irreversible. It’s on u @GOP Bone crushing FAIL @jaredkushner,ChinaRosy,,,,,,,,,,,,,,,🎖 🇺🇸 🆘 ⚡️
185,795,@British_Airways how come @AmericanAir have no queue at Manchester T3 and automatic machines but your queue is 50 deep with 2 desks open?,HeenanRachael,,,,,1.0,,,,,1.0,,,1.0,,
186,796,"@SouthwestAir My daughter is picking up her wedding dress, would she be able to carry it on , on a return flight with your airline?",katie3626,1.0,,,,,,,1.0,,,,,,1.0,
187,797,Was it @HiMyNameIsSeton ? Too many bloody's at Nance's casa?,vandreamy,,,,,,,,,,,,,,,
188,798,"@British_Airways How come I cannot check in? I give all the correct information, but It saidwrong infor",JesseChang6,,,1.0,,,,,1.0,,,,,1.0,,
189,799,@AlaskaAir and @AmericanAir were terrific just now in helping with my seating arrangements as a heavier flier. Thank you both,benjrivera21,,,,,1.0,,1.0,,1.0,,,1.0,,,
